Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),-9.09249491447744,9.162584768999283,-27.69774787581983,9.116035181110112,0.32102661196978627,
addi:year,0.006261542083710123,0.005198362282167784,-0.004126824110495329,0.016844735273019846,0.22838785801703398,
affett,21.919290547715477,11.914728172702526,0.10825515465039241,48.261741368747096,0.06581518930869393,.
affett:year,-0.0062588035775403275,0.004160430282352122,-0.014657841499472772,0.0010898449437718861,0.1324875424168304,
allor,3.2906462559135257,11.332744785853533,-20.325545129550015,25.165857460902053,0.771536084173453,
allor:year,0.004376975055219242,0.003754724305187808,-0.002829616018603589,0.012299181508931745,0.2437257497614627,
almen,3.804127829278696,12.803947111524248,-21.14247772537882,28.684085253400816,0.7663856839996537,
almen:year,0.004227728775494851,0.005016333595890236,-0.006132674417700301,0.013916625664327317,0.39934445384722517,
amor,12.834470171629668,9.686601472230096,-6.144850252813064,31.745439654451072,0.18518062853396192,
amor:year,-9.584435020304059e-4,0.0017611741357191164,-0.004223566568037482,0.00254444186828681,0.586298953659871,
ancor,17.770326373096008,10.098548525025317,-1.9520005042727213,37.653422974147674,0.07846018875071428,.
ancor:year,-0.0037718806468626156,0.0024078922377178463,-0.00854259712977417,7.333459584299506e-4,0.11723962785668186,
barbar,12.867884268909897,11.122518766435887,-10.183932311479769,32.591760990355176,0.2473043171901019,
barbar:year,-8.830324684291242e-4,0.0037286973401919844,-0.008580843469004187,0.0061845491993824655,0.8127959431554878,
bel,24.648240307711905,11.341999720175277,1.9445815036375114,45.6385750160135,0.0297665511909141,*
bel:year,-0.007595225033528739,0.003732832847249455,-0.015082717949820117,-3.35894192459624e-4,0.0418802580000713,*
bell,28.23813747816658,11.111253063815575,4.006588900971801,49.01424175844822,0.011040955489371913,*
bell:year,-0.009596894865971662,0.0037733538845035,-0.016368116092531273,-0.0014038274651112484,0.010980057931056395,*
car,9.398153254620176,13.187045259339719,-15.274225244865908,35.559609892956026,0.4760433333845522,
car:year,0.0011739253151780897,0.005407946325560786,-0.009208995654678654,0.011357776851137842,0.8281505642471981,
chiam,39.75892842965932,12.146720053377207,15.7591572629536,62.91465807665207,0.0010632839864378974,**
chiam:year,-0.016158996236817245,0.004630437831089812,-0.025657142543077868,-0.007501081110833814,4.835015885645335e-4,***
cigl,16.507841209288472,11.263282244563596,-5.218903002188521,38.32757847541328,0.14274822185578262,
cigl:year,-0.002989214376995205,0.003721371718425427,-0.010118805306598979,0.004392321726511835,0.42182675037822986,
cor,11.28398266577442,9.805579379549837,-7.433803814242708,30.71541186212543,0.2498261948678906,
cor:year,3.622669070336184e-5,0.0018160531413788763,-0.00366470876542694,0.0031127839296232773,0.9840848267726549,
crudel,8.085613408013117,10.288465986195204,-12.557596298386741,28.552704238400942,0.4319313143085756,
crudel:year,0.001861535044898972,0.0026203352630886326,-0.003343789406151474,0.006772729416655623,0.47744456016784237,
debell,18.107852570882837,12.29683155840501,-4.0609938265604635,42.1810511595588,0.14086905256651877,
debell:year,-0.003624813432121892,0.004674079045362603,-0.013298189896396381,0.004804702569397959,0.4380360345812718,
degn,11.817256494157407,12.61216800605087,-13.016519617960432,36.821566827545375,0.3487726260098265,
degn:year,-1.415583726810407e-4,0.004720188307787115,-0.009550030315069792,0.00865793865828636,0.9760750410451086,
digl,34.48649582631043,13.00849444571734,8.910293518360408,59.645754120910574,0.008023599630560397,**
digl:year,-0.01280507488898674,0.005289335565694037,-0.02277318640306238,-0.00222682235154633,0.015481149966301138,*
disper,13.976429357054316,12.473902187169157,-9.773206679335573,38.3431935683203,0.26252048940271905,
disper:year,-0.0013936898137180413,0.005068159770514111,-0.01154770394650731,0.008054338786294519,0.783324442802952,
ditel,29.39930790331214,17.680200932767654,-4.424255627555311,65.43440036731343,0.09634489108120847,.
ditel:year,-0.010075419833749858,0.008790856589181686,-0.027544527805686003,0.006517626228219086,0.2517434664826357,
donar,2.476262871315895,11.537278538217373,-20.361152448053307,24.73076652955562,0.8300546684102705,
donar:year,0.00501491231595984,0.0038535658365846316,-0.002473985512666707,0.012676777430554285,0.193132073137393,
dì,-72.79339570215464,438.18520221550915,-970.5978824825588,744.628956844553,0.8680587976926194,
dì:year,0.04761904762250232,0.248727708830422,-0.4161037254624928,0.5537432921763645,0.848172647698438,
fat,4.27246381459275,11.396087903497566,-17.77465099361997,26.970598727423628,0.7077302406997367,
fat:year,0.004034643280689433,0.004021282889810661,-0.003997260496616198,0.012114936803295354,0.315705322075009,
fedel,15.020589276122367,11.970678452421657,-8.813387717378825,37.370504007743094,0.20955798670947481,
fedel:year,-0.002157437936029597,0.004116083113253296,-0.009827902132527495,0.0054848775720496255,0.600175401731947,
fid,19.52492226663832,11.298523740031046,-1.6677851412439102,42.113915201154505,0.08397119562083906,.
fid:year,-0.004696268432785823,0.0037664337003397077,-0.01242800156967116,0.0024586256126929284,0.21244368405008238,
fug,23.140106591260665,11.963275098494968,-0.10508354384531983,46.94967428209458,0.05308094161635585,.
fug:year,-0.0065188051022950794,0.004467885332748401,-0.015200697758778421,0.00224474682967131,0.14455522673941412,
guerr,17.243931409414632,12.286647090346829,-7.106292053594213,40.145173327940654,0.16047695455935954,
guerr:year,-0.003320108879288458,0.004408242876672449,-0.01154815514120446,0.006114513962179385,0.4513542261380288,
imper,30.424424952654054,11.837253532266818,7.236395083909014,51.98792793987208,0.010163198642032452,*
imper:year,-0.010855176412504696,0.004213905912495818,-0.01867112102102632,-0.00247581009944263,0.009994002900593138,**
infedel,24.680030261232933,11.1359091234793,2.7272169851575008,46.87596394579415,0.026673944768178172,*
infedel:year,-0.0073723751757624285,0.0037541401503069505,-0.014379964424844505,3.0303271724442613e-4,0.04955345238665026,*
infel,23.5804516595814,12.976695588613573,-2.539735075487721,49.175595616627795,0.0691959266097541,.
infel:year,-0.007033100501322216,0.005008544103675422,-0.01701319032817635,0.0021150785983738525,0.16025318753943793,
ingann,35.65850871565231,11.318288511802711,14.431706330119598,57.90136708923824,0.0016297938805147473,**
ingann:year,-0.013845191385320109,0.00345854470456498,-0.021137887549631328,-0.007340361884690259,6.249561540941706e-5,***
ingrat,25.377602190400484,11.340713378540446,3.965921530196232,47.89622185365751,0.025237818181487105,*
ingrat:year,-0.007991293864608765,0.004083036057291169,-0.01582593110689365,-1.0714268776773946e-4,0.05032465846727922,.
lagn,21.344653229283406,12.356730933426146,-2.9743711175266188,45.33761922354852,0.08410113441618053,.
lagn:year,-0.005839090924298956,0.004542010637893325,-0.01481738357579003,0.0032022755137033052,0.1985917647132463,
lasc,25.756108341303783,11.31431821610675,1.739641924106085,46.756771647167774,0.02282105251763994,*
lasc:year,-0.008174058811413708,0.0036666273314181503,-0.014655786228739833,-3.876633264926237e-4,0.02579310739456243,*
lid,36.05498937900966,11.719301410090797,14.377827904273701,58.656403384801514,0.0020941281910086536,**
lid:year,-0.014251811145060427,0.004263588137924891,-0.02250058706854352,-0.0060652429384354944,8.297349814847776e-4,***
mor,17.035516949475028,10.037665300874124,-2.033474325316287,36.49385962814181,0.08966654874136575,.
mor:year,-0.0032198315862829226,0.0023612370525839107,-0.007741960314213928,0.0013973907893105677,0.17268699190431497,
nè,17.20193884145413,10.249316134651947,-2.966939587596468,37.62624505620944,0.09327880943297753,.
nè:year,-0.0031327504382746736,0.0030931663443176396,-0.00876902295309011,0.0031083516536879246,0.31115700356641135,
ond,36.2688551455267,11.929450750671121,13.342420766566043,60.10527274312774,0.0023635931123798196,**
ond:year,-0.014027025397041488,0.004199538415593014,-0.0224351086895435,-0.006387310880411158,8.373766274198747e-4,***
pac,16.39419066974581,11.356055846720778,-5.667208163165825,38.308140347768784,0.14883694100190603,
pac:year,-0.002645728357509965,0.004225193227205172,-0.01014509796512022,0.00628933695331812,0.5311973709085385,
parl,13.557589696793626,10.499102975116624,-6.253105549991363,34.92637089475758,0.1965964344172593,
parl:year,-0.0012477228681576093,0.0028108536278505653,-0.007337500832031809,0.0034114090141913957,0.6571187576634978,
perd,29.89668192351051,11.572051866894016,7.2540114966183245,51.288647647276086,0.009779646183116032,**
perd:year,-0.010394746580049869,0.003957762138161348,-0.017959396073074323,-0.00239059374243617,0.008628821273904779,**
perfid,35.50154976855033,13.260949501070645,10.91601276991261,61.07797971080772,0.0074251404529007735,**
perfid:year,-0.013227470706619959,0.005318358061369072,-0.02444497405452135,-0.003709205158234482,0.012877677820607104,*
piet,18.35092047305546,10.022641984288006,-1.6103928259143976,38.08455376426537,0.06710854057735115,.
piet:year,-0.003940606676874098,0.0023785503724163713,-0.008410709037334419,8.126314564044039e-4,0.09757484715346691,.
pover,28.918402475747225,12.42890165092529,5.038167282974252,53.52572998046038,0.019980907884468612,*
pover:year,-0.009776680296409398,0.004447914858995498,-0.018467896460081283,-0.0011835289858556969,0.027946487561957806,*
prov,-5.866607907383918,11.170913310405112,-28.706257397516776,15.415259535033208,0.5994663019571638,
prov:year,0.009721672164244312,0.003484397187274188,0.002883183788537779,0.0167184518836803,0.005269851060622321,**
pur,7.083392015129896,12.291297535117657,-16.66198018695422,28.694368548278074,0.5644169729065827,
pur:year,0.002487626387468367,0.00458158076863648,-0.005628093857491284,0.011864027530664156,0.5871556462072933,
qual,22.6233711335233,11.519840538404743,0.45187280052120765,46.27434431049995,0.04954615756084305,*
qual:year,-0.0061163395774319635,0.003839851176270712,-0.013692491228553488,0.0016943943973658554,0.11119193842718868,
sai,49.54873805834295,12.214938116825042,25.219037368297542,72.70669966148836,4.983378318816737e-5,***
sai:year,-0.02174066267348081,0.004283260072352576,-0.029565523462919678,-0.012635827905230072,3.8601536018477385e-7,***
scompagn,82.04066069750729,15.11170013045249,52.85069073300929,112.66719801379645,5.6686639130329417e-8,***
scompagn:year,-0.03966614134159458,0.006840691012421345,-0.05389019240847839,-0.02661798752820407,6.68877011230414e-9,***
sent,37.87959080333876,10.639544239501813,17.370188834711527,58.14981524376438,3.704815496679132e-4,***
sent:year,-0.01507283495877812,0.0029537637882105974,-0.020766318899142034,-0.009385400173873695,3.3444364228321674e-7,***
sol,8.581246075315793,10.896121918365193,-12.894136465255603,30.548880082586376,0.4309596885926084,
sol:year,0.0014476019371743153,0.0036107377009397313,-0.005535396894166191,0.008673468662240684,0.6884820876127637,
sospir,32.43962982424973,11.531904911638417,9.470431869737272,53.77746708850019,0.004907660437206225,**
