Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value(not meaningful since it is tested vs 0),Signif(not meaningful since it is tested vs 0)
addi_1730,1.7399728903410736,0.1862919554358644,1.3579916789534228,2.0778489178062878,9.63046888078453e-21,***
addi_1740,1.8025883111781749,0.14081783729955039,1.5131089210266013,2.0607713478342666,1.6216198567684882e-37,***
addi_1750,1.8652037320152761,0.10159065434558505,1.658403639810752,2.0531837030383904,2.746410891230021e-75,***
addi_1760,1.9278191528523774,0.07859825638042199,1.764814912649633,2.0692448516983672,7.518122545329355e-133,***
addi_1770,1.9904345736894786,0.08602754133856146,1.813452301023189,2.1436957696568757,1.9570469252378062e-118,***
addi_1780,2.05304999452658,0.11827855654559787,1.817843998152503,2.2772197293733165,1.7233678189005226e-67,***
addi_1790,2.115665415363681,0.1610742782547834,1.785920120625175,2.4129945090495224,2.082625325182185e-39,***
addi_1800,2.1782808362007824,0.20800494320839008,1.7662351562087863,2.579145163401278,1.1584968558556868e-25,***
affett_1730,1.9990654440932705,0.13688813251776608,1.7536751765121592,2.2977058430032704,2.6622979715797756e-48,***
affett_1740,1.9364774083178666,0.10441509601555159,1.7519670866701949,2.1688063273273563,8.792913402240215e-77,***
affett_1750,1.8738893725424646,0.0789716604500817,1.740069333684395,2.0524227079433666,1.8264064386529576e-124,***
affett_1760,1.8113013367670607,0.06885051531484641,1.709978344668983,1.9711939929642333,1.5640732418830407e-152,***
affett_1770,1.748713300991657,0.08008822129731408,1.6149051572138973,1.930246748848139,1.083270639983908e-105,***
affett_1780,1.686125265216253,0.10610236730905666,1.5032725749120461,1.9133200469490466,7.257555362502976e-57,***
affett_1790,1.623537229440851,0.13882060701918558,1.378581527359677,1.9056415020368231,1.3484086968129577e-31,***
affett_1800,1.5609491936654472,0.17451208824701822,1.255427319944703,1.9140752582524752,3.7313719354974333e-19,***
allor_1730,1.7703181869653752,0.12633856475066502,1.5546786076836066,2.0635364357954264,1.3073487516872623e-44,***
allor_1740,1.8140879375175674,0.09853220850934799,1.6600001892853709,2.0553593480557715,1.0699457901308572e-75,***
allor_1750,1.8578576880697595,0.07937256787007797,1.7390377640621608,2.0580075110899494,3.6439114852251615e-121,***
allor_1760,1.9016274386219525,0.07573412832362625,1.79215651933967,2.090090084095099,3.9409059546703724e-139,***
allor_1770,1.9453971891741446,0.0895296437035113,1.808844564241654,2.1623463848159923,1.0895275855630033e-104,***
allor_1780,1.9891669397263367,0.11462853596074901,1.8141244801069976,2.2536510162172076,1.8669743415586622e-67,***
allor_1790,2.0329366902785297,0.1452862369855473,1.7941656484810766,2.3604907780649165,1.728956846921094e-44,***
allor_1800,2.076706440830722,0.17866372128785782,1.7709323126764893,2.476557575868723,3.1286559405477217e-31,***
almen_1730,2.025603696407348,0.15537036885172195,1.7214078228089915,2.3219265567320697,7.510929370067491e-39,***
almen_1740,2.067880984162297,0.11381457688430058,1.8399566420674254,2.278943752675012,9.107274752909234e-74,***
almen_1750,2.1101582719172454,0.08207263004142257,1.937957523203145,2.2593374040144654,8.836883659761747e-146,***
almen_1760,2.1524355596721936,0.0740704231715446,1.9921288246929447,2.2748823659896855,1.1736461220415951e-185,***
almen_1770,2.1947128474271427,0.09594420707910818,1.9887258785514026,2.3569141649510628,8.264105555147352e-116,***
almen_1780,2.236990135182091,0.13376287396582623,1.9396838526917686,2.466330196288857,8.82988608649712e-63,***
almen_1790,2.279267422937039,0.17761777593328848,1.888618353596202,2.606960330601014,1.0792722155142254e-37,***
almen_1800,2.321544710691988,0.22399105897269617,1.8402871639087348,2.7328833772944963,3.598127399295985e-25,***
amor_1730,2.0838679986396262,0.059387194731718655,1.9719960556049996,2.2028844290952656,9.741134776984265e-270,***
amor_1740,2.074283563619322,0.045353389770122515,1.9927783998190263,2.1679278516601186,0,***
amor_1750,2.064699128599018,0.03467094769195632,2.0003821481772395,2.137060944237152,0,***
amor_1760,2.055114693578714,0.031020523025188127,2.0006293249542106,2.1201152340660308,0,***
amor_1770,2.04553025855841,0.036572184352786745,1.9820644744355702,2.1231691732230717,0,***
