Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),3.9560580802293375,6.175723042693548,-8.209717906059849,15.413126153996844,0.5217941856249282,
addi:year,-0.0010062044099572501,0.0035039132529283705,-0.007513941735605554,0.005879387937869639,0.773985293464546,
affett,6.887755486953421,7.6780037428812795,-7.99811747333384,22.759483420669905,0.36967818350934983,
affett:year,-0.004956590361167312,0.0026001885727684926,-0.010512838295523208,2.1939372744929396e-5,0.05661873081311712,.
allor,-0.387117297786018,7.489723246941004,-15.150123535261393,13.82893758471533,0.9587785243892654,
allor:year,-7.987328355072605e-4,0.0023719480434051185,-0.005266874988041184,0.003984253462938379,0.7363119370925111,
almen,1.4920015837457745,8.374729488161554,-14.739322069740478,18.609516457914186,0.8586010941968737,
almen:year,-0.001677179879275257,0.0031049141229792365,-0.008259231346033248,0.003937697107093988,0.5890801511588352,
amor,2.971379778664131,6.431366333619715,-9.593062082521548,15.661773783303861,0.6440714488033406,
amor:year,-0.0026625908382346794,0.0011193674419407954,-0.004748895400237976,-4.094493518872744e-4,0.01737585105480173,*
ancor,11.839999700397735,6.806912506661101,-1.5967428653224474,24.152723531069547,0.0819629799390588,.
ancor:year,-0.0076846122856186775,0.0015569038966247253,-0.010685003863296329,-0.00444642764205018,7.981078250810601e-7,***
barbar,7.195466469693958,7.3938324667603466,-6.676550170944331,21.451252822260315,0.33046811072908905,
barbar:year,-0.005030117164141913,0.002236206280696484,-0.009595964898768553,-9.499923968277907e-4,0.024487207664104105,*
bel,7.337410876322836,7.348232516945365,-8.026452263462561,22.022054542864378,0.31802372654359046,
bel:year,-0.005065715951781075,0.0023443007497916356,-0.009681170283583403,-2.1359747620948823e-4,0.03070581827526062,*
bell,2.0707181655837723,7.417746564767967,-12.442819253966853,16.839774981224796,0.7801241046753166,
bell:year,-0.0020868645340616503,0.0024887742852320693,-0.007147436583956404,0.0026083936407081325,0.4017437905916049,
car,5.58009408015813,8.56961691194706,-10.899405442664838,21.83736944724997,0.5149505646470908,
car:year,-0.004052607224049799,0.0033339409453778126,-0.0103346125843813,0.002230479030223385,0.22415235441377396,
chiam,10.356659868964197,8.012135171515759,-5.120777493963872,27.178516021322125,0.19614192705888456,
chiam:year,-0.006828102766133851,0.0029214588155736204,-0.012435334835091946,-0.001011971627545325,0.019427555757548575,*
cigl,-1.2991009716147792,7.579518466943628,-15.983143196317823,13.342684061487565,0.863912210523044,
cigl:year,-2.2659875679885636e-4,0.002226068801083487,-0.004407152010948157,0.0043359747969300404,0.9189207910943256,
cor,5.43258165486445,6.5273495273402125,-6.621125991565351,18.686857273238246,0.4052509869047061,
cor:year,-0.003994101054970208,0.001095096523956199,-0.006178363379025849,-0.0018759232712128615,2.650523408138565e-4,***
crudel,2.2925852243996094,6.79324751494905,-10.919221515785464,15.81895688419578,0.735755080554441,
