Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),-3.414903697125787,8.549522228127177,-19.74579368660538,12.6593105866772,0.6895791471162984,
addi:year,0.0018743914009786236,0.004849817778036029,-0.007234434315655798,0.011163139908784479,0.6991360473395867,
affett,2.7980553050565624,10.628994565509325,-17.927917332664485,23.68150188218265,0.792359890062541,
affett:year,3.533212747025419e-4,0.003817650811525449,-0.007260156285737185,0.007667227809791513,0.9262615476817976,
allor,6.014157969973188,10.548622236747834,-15.05422977789915,26.222462117759807,0.5685849016427247,
allor:year,-0.001548367107353722,0.0035692699724171307,-0.007728183545464084,0.0057610377423173405,0.6644300612358434,
almen,8.016577871565152,11.373709494238993,-12.644957567074082,30.007335140648557,0.48091350795137927,
almen:year,-0.002669122221852738,0.0044093109467870754,-0.010890133839135445,0.005798268114134276,0.5449546254387346,
amor,1.3499338427679568,9.023991211970365,-16.387090454318102,18.422888360697367,0.8810850382762372,
amor:year,0.0012208158388609448,0.0015634660749849535,-0.0018526940932516525,0.004232721400453437,0.43489698513884756,
ancor,3.2579431442243143,9.363950855592881,-14.522893610750716,21.576083040628877,0.7278972680867735,
ancor:year,1.075498245777193e-4,0.0021554908979511465,-0.003930409180803739,0.004481614213870002,0.9602054679383039,
barbar,-5.3760655833941815,10.277704783902406,-26.234681851162918,14.513019245745678,0.6009183278598191,
barbar:year,0.004785775083014851,0.0032122266981679747,-0.0014070225032978393,0.011302160974059302,0.1362604766439769,
bel,11.913069232583641,11.025698436457004,-8.73008236302271,33.40174913852353,0.27992757649055533,
bel:year,-0.004867600998550267,0.003672369262568904,-0.012340696454552757,0.0017662760806843928,0.18501660287109864,
bell,-3.750137185734513,11.049317467815298,-23.657532403667567,17.41580018669988,0.7343084978568164,
bell:year,0.004017133244808477,0.003553209458222212,-0.003039478966394521,0.011058742240324182,0.25823834506541016,
car,19.864623791188144,12.03505790060426,-2.960022108602833,43.20603420109475,0.09882779649068989,.
car:year,-0.00943896265902947,0.004775978926047826,-0.01877485990221204,-1.5174921610803025e-4,0.04811617623461619,*
chiam,10.910231341039124,10.6527565553487,-10.369190840583677,31.89465959711637,0.3057550897008433,
chiam:year,-0.004281731543538645,0.004018432839762615,-0.011900011752148157,0.00354208893469816,0.2866394436602346,
cigl,-19.9688002986172,10.313119380437163,-40.69391227257096,0.04847692437244734,0.05283681754938429,.
cigl:year,0.013071214388953027,0.0034331148875636755,0.00666635400355426,0.020012715310915124,1.4044000053719852e-4,***
cor,3.555973242829686,9.238927293741083,-13.754306620864105,20.76901247137581,0.700318713264364,
cor:year,-6.991111368742052e-5,0.0020385890627266606,-0.003799478028479344,0.00415000393829521,0.972642810920395,
crudel,-1.9823540417139145,9.752609933364035,-20.803623813964688,16.74244756536514,0.8389287291419621,
crudel:year,0.0031196851720339267,0.002327425390433572,-0.0010063609929598263,0.007841972079073707,0.1801147523394094,
debell,0.08019756243601793,11.240263648536526,-22.294052575045416,21.651332994946387,0.9943072639586304,
debell:year,0.0019072682356606812,0.004282593615998958,-0.006849155125123869,0.009774775755158149,0.6560642803810399,
degn,-6.100263902844988,11.153695040466067,-29.187317149324276,15.148962370180449,0.5844284581751537,
degn:year,0.0052607418868792465,0.00435654723194052,-0.003671314975596989,0.013857575470290394,0.2272209954829469,
digl,-1.693180745015235,12.398019035908378,-24.19134131952167,21.53821515529227,0.8913717565073058,
digl:year,0.002716342226760971,0.005107557416853995,-0.0077416803724453705,0.011925524293262529,0.5948451035411215,
disper,5.83595724915942,11.548020216849382,-17.303454434642422,26.355869362760423,0.6133029825750158,
disper:year,-0.0014812194826250027,0.004510222756377114,-0.009912926823865584,0.00740781177619369,0.7425987954108046,
ditel,4.720223160934888,16.546442091307352,-25.124203095471746,37.936282566115906,0.7754363862498366,
ditel:year,-5.98589275705531e-4,0.007899190940481223,-0.016616739169811778,0.01398697944360426,0.9395952776325514,
donar,-4.604961425397528,10.581806271704643,-25.36237669736903,14.940861810845368,0.6634337695096343,
donar:year,0.0044500388716389085,0.00368137550776196,-0.00258555955165393,0.011844039668735021,0.2267405102049282,
dì,3.301694662230742,8.653433746262474,-12.83613013133804,19.827009150422228,0.7027971477833419,
fat,-10.481639521818053,10.820585056099649,-32.93660827859507,8.883621179953995,0.3327069412004121,
fat:year,0.007789004706636655,0.0036925575840712887,0.001046842239750352,0.01553296123008749,0.03491185070854886,*
fedel,1.6523292491778165,10.427303314435854,-18.689951098620003,21.57721941854261,0.874092919725339,
fedel:year,9.847597358227744e-4,0.003670812259399091,-0.005847041701503743,0.008415336225694446,0.7884933981950981,
