Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),-1.3663855354773322,1.7390540859182921,-5.013766903246935,1.9654568271109794,0.43203964424971364,
addi:year,7.622551531168919e-4,9.866355906610138e-4,-0.0011414103092491593,0.0028374980977999846,0.4397708475166718,
affett,1.7593302977727696,2.2011567736751196,-2.6453883972382064,6.087267050087776,0.4241307827539324,
affett:year,-2.1202730657523847e-4,7.735127464225257e-4,-0.0016649184169967048,0.0014094451324485639,0.7840003597386105,
allor,1.9826901977883662,2.13479129516314,-2.3121565076295556,6.225637335749001,0.35301798640618093,
allor:year,-3.204154836149859e-4,7.109276491637057e-4,-0.0017101876012052594,0.001075130288181974,0.652205384760459,
almen,0.9400221211213196,2.4193756993215865,-4.277435948843243,5.631608946318254,0.6976171050145246,
almen:year,2.516259954363973e-4,9.494633917294552e-4,-0.0014668272991037621,0.002309574719083289,0.7909946978675292,
amor,1.0136375570091223,1.8194222015826806,-2.406091670129721,4.644826286636021,0.5774450456331343,
amor:year,2.1649197978150137e-4,3.054825554179033e-4,-3.6205972699635756e-4,8.150938874858125e-4,0.47851779104663145,
ancor,2.7080543904387837,1.8828993814994293,-1.0344490613696518,6.400978828228889,0.1503669961675866,
ancor:year,-7.30997034445403e-4,4.4135834960508787e-4,-0.0015344400390534551,1.866929300926647e-4,0.0976724545325112,.
barbar,0.6509527873674914,2.082869067699584,-3.376565708624889,4.6377472576671845,0.7546400592071588,
barbar:year,3.6142767977178915e-4,6.477704774927141e-4,-9.012219533167151e-4,0.0016827646795843215,0.5768741610785173,
bel,3.206066509922934,2.1790152369699753,-0.9164685826135193,7.502232471566458,0.14119990650818523,
bel:year,-0.001021175371363666,7.149736802736702e-4,-0.002290167668972302,4.043235244242753e-4,0.15321419424927266,
bell,0.628663587523406,2.1169370789917545,-3.230657178445083,4.9482729566369965,0.7664905731448957,
bell:year,4.073123517234416e-4,7.293237566994637e-4,-0.0011517938982891446,0.0018411506658483764,0.5765170134906401,
car,0.4551627657253421,2.4622479501993517,-3.9756368511287246,5.450702489689671,0.8533415183723425,
car:year,5.019825147526672e-4,9.578551999392539e-4,-0.001404638394474044,0.0023197759903594226,0.6002303327128962,
chiam,0.9377568356793967,2.3475440487084205,-4.074490055657168,5.336097688153169,0.6895521292771971,
chiam:year,2.6199601555592744e-4,8.822960702658353e-4,-0.0013595357473491435,0.0020335083915627274,0.766506242121584,
cigl,-0.43121891359735026,2.121771104516799,-4.614765541880173,3.7438003104924102,0.8389510764744493,
cigl:year,0.0010134968449284692,6.853200072389513e-4,-3.260283832475635e-4,0.0022752830298452906,0.13917598097435205,
cor,0.8454518585008979,1.8259307263261775,-2.7239907394928746,4.57532287142828,0.6433463360562075,
cor:year,3.2549074180579697e-4,3.2978125100467084e-4,-2.5965385413684924e-4,0.001008863323076763,0.3236476228892711,
crudel,1.3727093684003715,1.8947353531792317,-2.242449653447452,5.109549809885191,0.46876737654510253,
crudel:year,2.3024651683757493e-5,4.839242562707761e-4,-9.608533193695638e-4,9.36959728769482e-4,0.9620517365379606,
debell,1.1026549036887325,2.2200629861136854,-3.055955931785615,5.463396398885175,0.6194166281794369,
debell:year,1.916167182438271e-4,8.571852745752716e-4,-0.0014113506872680806,0.0018671609677652014,0.823113873417584,
degn,2.1623851025032512,2.2231474394075055,-2.026458525667744,6.592251005708421,0.33071817129412256,
degn:year,-4.929154081090173e-4,8.539659966320612e-4,-0.002141365134332161,0.0012659430798101089,0.5637994255557823,
digl,5.307900673692328,2.5298193041437047,0.2715688800343504,10.246212383954058,0.03589328269126841,*
digl:year,-0.0022308715095639034,9.987083650484156e-4,-0.004253672499167467,-3.5147354174509533e-4,0.02549908549572667,*
disper,1.411373465226718,2.2945782276019324,-3.1884887897003145,5.894620315690466,0.5384948991622096,
disper:year,-4.264494282533281e-5,8.948723192986539e-4,-0.0017983983224854388,0.0016818633073646214,0.9619913740645325,
ditel,3.276964124693499,3.326419252603541,-2.9011665629868895,10.009222983357109,0.32455893062400815,
ditel:year,-0.0011081480146122047,0.001649481895209578,-0.004298885036394209,0.002087999003455604,0.5017009628432043,
donar,1.8958254205563798,2.157799429292658,-1.7979023446791136,6.711403755802794,0.3796225087452064,
donar:year,-2.3581999366485145e-4,7.34852763673689e-4,-0.0018231997854530205,9.536358116744374e-4,0.74828025250822,
dì,68.76312948665547,79.88384950675389,-96.51170897791923,213.45529111075615,0.38935432961905586,
dì:year,-0.03848506859519267,0.04534255545738977,-0.12234314454849154,0.055665678519484105,0.39601336405636667,
fat,-2.6408701383121427,2.192171482847836,-6.824236912065683,1.723495641973695,0.2283259796014925,
fat:year,0.0022328449260430585,7.439859826043437e-4,7.49533721716035e-4,0.003630708309559426,0.00268924766345724,**
fedel,0.542721921146077,2.2111526896705316,-4.081056176267569,4.758346201992327,0.8061099464007779,
fedel:year,4.7003901150663126e-4,7.517070250623012e-4,-8.867378176849267e-4,0.001999284931017722,0.5317771403688372,
fid,0.058011323382518735,2.128442461499471,-3.9397197647069713,4.2409171720456476,0.978256114453644,
fid:year,7.347681918745662e-4,7.2336107631156e-4,-7.227677886142966e-4,0.0021030283916919456,0.3097391151673135,
fug,2.1024568243111843,2.225776637841036,-2.7128356421889097,6.357954855769995,0.34486583185430986,
fug:year,-4.7241503258740094e-4,8.139324084557901e-4,-0.001960189229697746,0.0011930283501506457,0.5616377295818356,
guerr,1.8469495330886525,2.177950277084864,-2.5882925743789453,6.16627525264679,0.39642577415720753,
guerr:year,-2.4862590376287296e-4,7.701476402301225e-4,-0.0016760335847279084,0.0012615165026670235,0.7468248364255718,
imper,-0.6820589728985331,2.1634811375926675,-4.768316649651832,3.4653577326088065,0.7525642847109018,
imper:year,0.0011522424752612927,7.764473004340927e-4,-3.9282225167137653e-4,0.0025708345130601765,0.13781073783152156,
infedel,4.784629075480196,2.1734701449585065,0.5838624433045755,9.376711534403512,0.027709284411587508,*
infedel:year,-0.0019715013349315474,7.167791040957364e-4,-0.003405225584486129,-6.300137341608321e-4,0.005950428790548067,**
infel,1.576835714298881,2.3341009305821436,-3.123268107600201,6.091303162162624,0.4993171907913654,
infel:year,-1.4780954693759455e-4,9.098673180450998e-4,-0.0017949272697679083,0.0016375943859705804,0.8709501137407836,
ingann,1.0513017232349358,2.016443875373064,-2.69378840977053,5.4299400856163755,0.6021130595767373,
ingann:year,1.7482287033456122e-4,6.428359924404715e-4,-0.0010670162582519474,0.0013786121132172344,0.7856561324024739,
ingrat,3.5238234265910258,2.2065134311037755,-0.7931029447754825,7.9020821328335655,0.11026353756321196,
ingrat:year,-0.00126230217885963,7.842267277684804e-4,-0.0027583439525723447,2.9379833486647467e-4,0.10748218933074741,
lagn,2.665651921210334,2.279778034233659,-1.3920769147821557,7.498168039147751,0.24229913110058268,
lagn:year,-7.083020347661535e-4,8.396249794309883e-4,-0.0024963780709753958,7.528794990482663e-4,0.398896691165432,
lasc,0.6825749417282491,2.142785813997979,-3.7701801325697524,4.7977250316603595,0.7500711288337681,
lasc:year,3.766513368382335e-4,6.935973431011354e-4,-9.055025281272591e-4,0.0018337524865099516,0.5871020281590382,
lid,-3.2240464513015348,2.260929859796746,-7.375132190265453,1.2989905110577957,0.15387338876218176,
lid:year,0.0026390308171371484,7.839103310497141e-4,0.0010406513644821765,0.004125705226395689,7.612974851158564e-4,***
mor,-0.11920759905481011,1.9069976967265325,-3.905209577587188,3.671501565925463,0.9501562088300682,
mor:year,8.860323477230163e-4,4.36805223205346e-4,-5.965202788898135e-6,0.0017349134937841093,0.04251555705535276,*
nè,1.242918041715505,2.02851622001508,-2.6338511892550778,5.457023015066131,0.540059675606002,
nè:year,6.684658863380305e-5,5.559392210070931e-4,-0.0010723013919596645,0.001140965648264221,0.9042923814616084,
ond,2.779809362583282,2.2128632021028465,-1.310576494624124,7.3535371447401605,0.20904172913974378,
ond:year,-7.742791219794226e-4,8.048559978917993e-4,-0.002352917462263834,8.556220598964556e-4,0.33604482822857085,
pac,1.0080739763076472,2.2256954037738272,-3.065435699863745,5.692132931835569,0.6506024617688869,
pac:year,1.7271197849696142e-4,7.856330757314346e-4,-0.0013767393030647672,0.0016914240774447236,0.8259973491533291,
parl,2.398483889802091,1.9373593643836708,-1.3158425798526867,6.302634256092252,0.2157097456380283,
parl:year,-5.570366012548398e-4,5.557342051575185e-4,-0.0016327350448599284,5.431516415615564e-4,0.316177691318515,
perd,-0.2159564512006065,2.074067653508623,-4.0304194096747326,4.218022579527806,0.9170723872689927,
perd:year,8.913126272987749e-4,7.10693350825458e-4,-4.5111675533384766e-4,0.002243816241222771,0.2097892478757715,
perfid,4.611818719558265,2.508489507726626,-0.5719610247705321,9.024059733314969,0.06599106484637911,.
perfid:year,-0.0018466719673961218,0.001028023992963911,-0.0034987732642697213,4.3986553304267495e-4,0.0724417976441378,.
piet,0.8009079160529384,1.8939769302919076,-2.746133649283079,4.671832219835599,0.6723893832457312,
piet:year,3.448887122003086e-4,4.4964484710514197e-4,-5.576816266487262e-4,0.0011967953953559837,0.44306681916676016,
pover,1.0576738781640687,2.2568338095837484,-3.2022760037779245,5.4373559878058915,0.6393170715707421,
pover:year,1.4029423847351303e-4,8.301745612813267e-4,-0.0013975364341162553,0.0017319872757565156,0.8658016273889203,
prov,2.9071145357651105,2.1106239628650147,-0.99881044181023515,7.270512366525707,0.1683972377714258,
prov:year,-8.433704161721174e-4,6.262525662281448e-4,-0.002108740849815864,2.8716619905350387e-4,0.17807888638318148,
pur,0.7346865610878747,2.2666706874170495,-3.358003541448053,5.117396060354169,0.7458427577040385,
pur:year,3.211017179354251e-4,8.347423707632945e-4,-0.0012786166991405488,0.0018751175058698444,0.7004807083026505,
qual,-0.9287335477968405,2.17877567662694,-4.930233339506155,3.3451414920137994,0.6699155161606744,
qual:year,0.001203518242206832,7.580813175387819e-4,-3.5631832027874385e-4,0.0026827299828107057,0.11238029775325829,
sai,-2.132359316790252,2.2606945166518138,-6.577285747024253,2.2322751090441573,0.345562270031588,
sai:year,0.0019785449791611272,7.935635773783277e-4,4.036377824853866e-4,0.003487904996474742,0.01265830166842731,*
scompagn,0.4328043694514134,2.723753910559261,-4.739522370554098,5.949169969986066,0.8737476974129289,
scompagn:year,5.136498583892052e-4,0.0012079463867326157,-0.0017088584205119336,0.0028513897499418037,0.6706721446495049,
sent,1.2756543234829179,2.033239520098245,-2.8002961770289265,5.236538623962077,0.5303971165544037,
sent:year,3.7925367246979585e-5,5.336147977750524e-4,-0.0010501446277851308,0.001061302525500094,0.9433400105826546,
sol,1.3720492381617184,2.1408388994563237,-2.899829727294768,5.645256210647873,0.5215920301080414,
sol:year,-2.69963106805929e-5,6.877161866890076e-4,-0.0013013199475347792,0.0013604484992018426,0.9686870700906567,
sospir,0.07068829289847108,2.156408587146623,-4.051700011332265,4.102565248273561,0.9738495763811885,
sospir:year,7.166351221235674e-4,7.21960586828836e-4,-6.887907313348291e-4,0.002107098448176444,0.3208934157597354,
spos,-1.7053686821066554,2.1310401475730596,-6.017511609158242,2.1397425566018136,0.4235649318558332,
spos:year,0.0017178896952557284,7.427353932545381e-4,3.3757684362044414e-4,0.0032046632969506034,0.020726878848639226,*
sì,1.827286220472203,2.017454972958537,-2.0522669970970386,5.916045808786754,0.36507438983916146,
sì:year,-2.654755369352712e-4,5.446089685140685e-4,-0.001341079199491052,7.756813303500938e-4,0.6259317983994149,
terror,2.707714684624111,2.3365327632892963,-2.1371575003649355,6.836551160745764,0.24651319881549763,
terror:year,-7.761534432286086e-4,8.66879331130048e-4,-0.0022785639524038025,0.0011323000693562858,0.37060431410230443,
tradit,2.0317622034878013,2.263681330986238,-1.989959455093347,6.733016965764309,0.369426677816174,
tradit:year,-3.9362764534593204e-4,8.024945819913127e-4,-0.0020825104062413132,0.0011472025675149959,0.6237765569446219,
trem,0.2551843042632298,2.1170274181548043,-3.3858530180589037,4.966057527174323,0.9040562111509584,
trem:year,6.55141133972397e-4,6.62421669710982e-4,-7.86041577413426e-4,0.0018127779721509023,0.32265863428809244,
trov,3.4794477424038477,2.5548675661695794,-1.3257551188568002,8.837447584259937,0.17323270722527917,
trov:year,-0.0012246381669694657,0.0010450216978168537,-0.003460574861833668,7.043186348130087e-4,0.24124595262002455,
ved,3.380688033497066,2.054731855174308,-0.44078810036396937,7.277694511688943,0.0999041768257144,.
ved:year,-0.0011598081800158215,6.353452345212624e-4,-0.002445720403230675,1.3342851350134558e-5,0.06792906293264299,.
virtù,3.4782207544928676,2.3971391753771534,-1.336288079302173,7.865779447146331,0.1467831347310065,
virtù:year,-0.0011243066900120807,9.312840419583167e-4,-0.002798223476092451,8.066057163718289e-4,0.2273300798224356,
