Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,-0.04768412058510929,0.03547547647773482,-0.1141613580443551,0.024741510824500473,0.17890208382303585,
addi_1740,-0.040061569053940316,0.02681965045198722,-0.09007378000548406,0.017585415963625388,0.1352437414896494,
addi_1750,-0.03243901752277134,0.019319694206406012,-0.0679154468582544,0.00953327606341791,0.09313942521509731,.
addi_1760,-0.024816465991602588,0.01484520908943673,-0.05085943967078624,0.007550518172621672,0.09458708303243421,.
addi_1770,-0.017193914460433612,0.016145668038422836,-0.047394038905025436,0.01631992595212135,0.2869101812140212,
addi_1780,-0.009571362929264637,0.0222296575484779,-0.04959043243330289,0.034813705151138574,0.6667830450345535,
addi_1790,-0.0019488113980956623,0.030344776615688712,-0.05957744616196111,0.059820085374861894,0.9487932198793457,
addi_1800,0.005673740133073091,0.039250808600681,-0.07053642635680656,0.08600064767328094,0.8850654575352155,
affett_1730,0.026137521920274853,0.025352994002511002,-0.025035433800351156,0.07511774636675397,0.3025669913145735,
affett_1740,0.024017248854522444,0.019150268007593903,-0.01458011934130071,0.0601734389882289,0.20978862373571291,
affett_1750,0.02189697578877009,0.014326302351768953,-0.007703103617358613,0.04905504215299948,0.12640190586257954,
affett_1760,0.01977670272301768,0.012581924647137166,-0.007292025033196051,0.04206888921551536,0.11598894765267095,
affett_1770,0.017656429657265327,0.015030583189566708,-0.013303361500440472,0.045025856486025466,0.24011466393714118,
affett_1780,0.015536156591512917,0.02020108285837776,-0.023981354235720932,0.05178363739580542,0.44184852999576874,
affett_1790,0.013415883525760564,0.026548084313635752,-0.03973396148477833,0.061770129096287894,0.6133180795443486,
affett_1800,0.011295610460008154,0.033407626782474276,-0.055435332486338605,0.07502346163477541,0.7352767362650575,
allor_1730,0.061985875657108336,0.02376597920395586,0.009940157604412287,0.1040037974461163,0.009102592528517455,**
allor_1740,0.05878172082095856,0.01876712972120488,0.017083166901392725,0.08969226159008734,0.0017352314654687545,**
allor_1750,0.055577565984808674,0.015357676217195988,0.018451986628830398,0.08048824853491561,2.958823781303612e-4,***
allor_1760,0.05237341114865879,0.014689484333425373,0.01542030138504826,0.07505390525674098,3.6334658856789084e-4,***
allor_1770,0.0491692563125089,0.017087227731311418,0.008146593079544922,0.07500431918213674,0.004007835173336087,**
allor_1780,0.04596510147635913,0.02155076387211073,-0.004320302362092143,0.07909896857784718,0.03293492081596069,*
allor_1790,0.04276094664020924,0.02707705976968835,-0.0180333311395497,0.0853520505753837,0.1142829593990174,
allor_1800,0.039556791804059355,0.033138626683088465,-0.03343996129597918,0.09168880896918573,0.23260463222004338,
almen_1730,0.008949557748954728,0.028915229940421117,-0.04918601169195377,0.06204683786443456,0.7569334767926315,
almen_1740,0.01146581770331867,0.021376684894166047,-0.03023181054883677,0.05199391747567734,0.5917026918345027,
almen_1750,0.013982077657682668,0.015676072147603658,-0.017765226549132932,0.042479338706012226,0.3724263971267522,
almen_1760,0.01649833761204661,0.014227447601191531,-0.01283426251754304,0.043941780605249836,0.2462062792719731,
almen_1770,0.019014597566410607,0.018083299999385998,-0.016768012834525937,0.05418200365540722,0.2930288160425039,
almen_1780,0.02153085752077455,0.024889669721519077,-0.026631680572343226,0.0694739629582525,0.38701027165890695,
almen_1790,0.024047117475138546,0.032861680194113334,-0.038390485011733706,0.08877207077443963,0.4643103419603479,
almen_1800,0.026563377429502544,0.04133024120265239,-0.05097517402152635,0.109501164596012,0.5204120067356568,
amor_1730,0.021783146553787436,0.010764261212418667,0.0010697433080503092,0.04385507570476783,0.04300570449899907,*
amor_1740,0.02394806635160246,0.008300553104251747,0.007766064930678913,0.0415812625977017,0.003912682983797244,**
amor_1750,0.026112986149417483,0.00645888238283853,0.01428409544000173,0.03976781066937945,5.2781219271434575e-5,***
amor_1760,0.028277905947232507,0.005858605537642628,0.017456745140924934,0.0403179803011525,1.387932221400001e-6,***
amor_1770,0.030442825745047475,0.006835018176096398,0.017504692161598865,0.04386747008282647,8.430493996724077e-6,***
amor_1780,0.0326077455428625,0.008882556248116624,0.015925748138599143,0.05039515636341846,2.4161594681293603e-4,***
amor_1790,0.03477266534067752,0.011439853799147068,0.012687093457161123,0.057922237672225194,0.0023688665013057797,**
amor_1800,0.036937585138492546,0.014234775087871245,0.009832868466157557,0.06553177967101512,0.009462294455054577,**
ancor_1730,0.0770439853709044,0.014961888048701568,0.049698276370443654,0.10648008796103105,2.6139191502304385e-7,***
ancor_1740,0.06973401502645027,0.011902885439301897,0.048553595858905556,0.09292758114027032,4.668397169071158e-9,***
ancor_1750,0.06242404468199636,0.009696190282951204,0.04528078533538605,0.0832561641480269,1.2106033267044967e-10,***
ancor_1760,0.05511407433754223,0.0089927952633225,0.04080157311567013,0.07510681722941165,8.860433925401205e-10,***
ancor_1770,0.04780410399308832,0.01011145210717332,0.03218689559741981,0.07023529092056854,2.270561402376492e-6,***
ancor_1780,0.04049413364863419,0.0125749511810611,0.01998300246881312,0.06797182570893634,0.0012809138913324313,**
ancor_1790,0.03318416330418028,0.0157649664484028,0.0071578149538277965,0.06877738386435989,0.03529733291279071,*
ancor_1800,0.02587419295972615,0.01932500384101509,-0.0064464421057787765,0.06862718873409288,0.1806041509807288,
barbar_1730,-0.09016286210464564,0.023705067532724805,-0.13660030329257106,-0.045187401858037254,1.4265049335396721e-4,***
barbar_1740,-0.08654858530692766,0.018088914096539187,-0.1221429315058758,-0.051729621066982964,1.7131088257219921e-6,***
barbar_1750,-0.0829343085092098,0.013462786167305858,-0.10844998822304726,-0.05622408913851052,7.262405863763345e-10,***
barbar_1760,-0.07932003171149193,0.011137487208294675,-0.09995078562781626,-0.055427241274736055,1.064519486800329e-12,***
barbar_1770,-0.07570575491377407,0.012473966609581359,-0.09662323741249552,-0.04838075897442412,1.2862877093622943e-9,***
barbar_1780,-0.0720914781160561,0.016610697648583913,-0.10159087803316619,-0.03486844326033698,1.4244172242044788e-5,***
barbar_1790,-0.06847720131833823,0.022022486723848638,-0.10696749557214243,-0.020479944784571436,0.0018745386956141184,**
