Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,-0.12550107944066324,0.0845549337649156,-0.2790043780888225,0.04798785266727081,0.13774129544245453,
addi_1740,-0.12103393105175986,0.06348587883048075,-0.23667648117484438,0.012549632058916387,0.05658923874440467,.
addi_1750,-0.11656678266285647,0.04537429033313892,-0.20083399545385952,-0.019964877195856334,0.01019909604126454,*
addi_1760,-0.11209963427395309,0.0351375164327498,-0.17767055420316324,-0.033475235731110005,0.0014211935788629071,**
addi_1770,-0.1076324858850497,0.039470410744706225,-0.1778299412400677,-0.019854299188184384,0.006392935403345529,**
addi_1780,-0.10316533749614643,0.055032999310578735,-0.19771470902616262,0.01317428884206235,0.060846579920795445,.
addi_1790,-0.09869818910724304,0.0751451803334637,-0.23178168987364134,0.05980017800235929,0.18903695169114293,
addi_1800,-0.09423104071833965,0.09701759977987331,-0.2653467634673845,0.1044706725953307,0.3314099614790149,
affett_1730,-0.04121571820077405,0.06438933309846902,-0.17024831673029972,0.07913830226151425,0.522106517971858,
affett_1740,-0.04177477501431638,0.04836448567095084,-0.1413085481154185,0.04703365659957343,0.38772580233709403,
affett_1750,-0.042333831827858714,0.035245738723531095,-0.11581116704496802,0.02451873624112881,0.2297104867541809,
affett_1760,-0.04289288864140105,0.029247257798313733,-0.10336636771130531,0.00947239580040436,0.14249550653778476,
affett_1770,-0.04345194545494338,0.034329920563211686,-0.11363759048684277,0.015648952900785395,0.20561461392398003,
affett_1780,-0.04401100226848571,0.047028567590706206,-0.14128083020124324,0.039694110457936874,0.34935789920173316,
affett_1790,-0.044570059082028046,0.06288744119450732,-0.17475413447448618,0.07794478111422554,0.47849359495167765,
affett_1800,-0.04512911589557038,0.08004983271033991,-0.20521410865370973,0.11087325389847004,0.5729155881950725,
allor_1730,0.033817937799308806,0.05615031318178422,-0.07969495305231082,0.14202045453781448,0.5469910052141667,
allor_1740,0.03541292734014856,0.043710326348739954,-0.05112280464588463,0.11559128668336377,0.4178407384625235,
allor_1750,0.03700791688098831,0.03482012187104045,-0.0353676257399697,0.10019430933676142,0.2878584430697474,
allor_1760,0.038602906421828065,0.03253309765784271,-0.0303074510867122,0.09199491496417057,0.23539595609008057,
allor_1770,0.04019789596266782,0.03805886621820482,-0.03960808863679501,0.10837914578117416,0.29087539301863297,
allor_1780,0.04179288550350757,0.04881255423470027,-0.06282913567693174,0.12989911727213918,0.3918919600215853,
allor_1790,0.043387875044347324,0.06213667920412032,-0.08434244461876036,0.15830073076742845,0.48501141546374665,
allor_1800,0.04498286458518708,0.07670320496964793,-0.10860443375155934,0.18873861019236998,0.5575707872847309,
almen_1730,-0.09905507947092085,0.069990011762991,-0.22463460989070308,0.0459707421734015,0.1569880261700494,
almen_1740,-0.08847017034725435,0.05060298765116827,-0.17855656688964405,0.0118279237752445,0.08040878592019407,.
almen_1750,-0.07788526122358763,0.03529097104803613,-0.1401402176569752,-0.0041007298464567545,0.027317844391153503,*
almen_1760,-0.06730035209992113,0.030870253990706368,-0.12274535047171609,-0.003380756742480433,0.02924978240347303,*
