Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,0.028578613716766732,0.14248381722726433,-0.24943745842927506,0.3176484683114324,0.8410313355740399,
addi_1740,-0.004292467574572356,0.10722971660405797,-0.21482246951841222,0.21112718594936022,0.9680687478071106,
addi_1750,-0.03716354886591233,0.07684677049664401,-0.18725316460393818,0.1167704788120888,0.628665612094804,
addi_1760,-0.07003463015725142,0.059357225423568534,-0.19013257972899394,0.04180427811641539,0.23804642403655787,
addi_1770,-0.10290571144859051,0.06596797969960852,-0.23689267803164551,0.02722501472906578,0.11877541783692473,
addi_1780,-0.13577679273993049,0.09160190250619671,-0.3216800580030929,0.03936979361562017,0.13827415645293636,
addi_1790,-0.16864787403126957,0.1250627154722971,-0.40878615851505784,0.0780128795495422,0.17749555844687012,
addi_1800,-0.20151895532260866,0.16155833968352695,-0.5120776258459219,0.12400670815752321,0.2122710963346824,
affett_1730,-0.0861016553164955,0.1068266101366017,-0.31272589441482623,0.11218814962094144,0.42024604688516765,
affett_1740,-0.10976808411612282,0.08085767204512166,-0.28516485481275977,0.0361901681972746,0.17460749373734102,
affett_1750,-0.13343451291575015,0.060384256102815094,-0.26635427864994093,-0.026151446719032592,0.027122054129168547,*
affett_1760,-0.15710094171537836,0.05231453338107138,-0.2655066835115752,-0.05557602018409239,0.0026732574905953964,**
affett_1770,-0.1807673705150057,0.06172211258473789,-0.30266561664535335,-0.059909266166293024,0.0034035049689631405,**
affett_1780,-0.2044337993146339,0.08285339294332998,-0.3627612713059945,-0.04591762633571826,0.013609209322942555,*
affett_1790,-0.22810022811426123,0.10909631993690523,-0.434579248764357,-0.0196308966421966,0.03654464606209826,*
affett_1800,-0.25176665691388855,0.1375557562829861,-0.5081996071677876,0.011643621448533373,0.06720687736788261,.
allor_1730,0.025746177372393042,0.09538443102539734,-0.1553870081155433,0.21463955720988392,0.787221705522281,
allor_1740,0.04044282350646844,0.07442525104930366,-0.10329578736275155,0.18131586644241168,0.5868531115378199,
allor_1750,0.05513946964054384,0.05998066265675522,-0.060751030022101006,0.16671409610635932,0.3579452472029042,
allor_1760,0.06983611577461879,0.05721778900843302,-0.04487709997740003,0.18572413871869703,0.22226344306315013,
allor_1770,0.08453276190869419,0.06758479453665703,-0.055836539659015215,0.20956886475477995,0.2110198694419895,
allor_1780,0.09922940804276914,0.08648217801020754,-0.07891556235346764,0.2614325774013939,0.25121750199132503,
allor_1790,0.11392605417684454,0.10958222192260386,-0.11400425423269418,0.32630990592237363,0.29850721560107263,
allor_1800,0.1286227003109195,0.13474046607043808,-0.15034701837020883,0.3942874788617333,0.33978207695702745,
almen_1730,-0.338498638814702,0.11872327342866483,-0.5422542391708036,-0.08206574842762816,0.004356051671922536,**
almen_1740,-0.31352051102238665,0.08776668299558364,-0.4635029407125065,-0.1277801708889074,3.5398925649200274e-4,***
almen_1750,-0.2885423832300722,0.06327141023159154,-0.3924550136400752,-0.15243129383427234,5.105840856351442e-6,***
almen_1760,-0.26356425543775686,0.05473625653585317,-0.3532959679041821,-0.14851567898635923,1.4707630905820862e-6,***
almen_1770,-0.23858612764544151,0.0684203911465027,-0.36475121843913644,-0.1015094450215742,4.883586188469415e-4,***
almen_1780,-0.21360799985312706,0.09517955551450863,-0.3947842972512785,-0.034764894731309316,0.024815454233180555,*
almen_1790,-0.18862987206081172,0.12700177703266893,-0.4436670949075322,0.05716676888789266,0.13747660497814987,
almen_1800,-0.16365174426849727,0.16091072266691672,-0.49263882686066246,0.15493566987190907,0.3091370533062908,
amor_1730,-0.07670658073102077,0.043421182839057555,-0.16345901924035883,0.006061810510406734,0.07730018485645435,.
amor_1740,-0.08576070637774014,0.033393759835087286,-0.15320416513912416,-0.021851700905282174,0.010223829182363791,*
amor_1750,-0.0948148320244595,0.02606387556003425,-0.1485211644073003,-0.044663225903030256,2.7499051347719747e-4,***
amor_1760,-0.10386895767117887,0.024040514948712125,-0.1496087599056477,-0.05488552520061628,1.5561992920390445e-5,***
amor_1770,-0.11292308331789802,0.028478157336709675,-0.1686089388015573,-0.05574954251281213,7.331830673103434e-5,***
amor_1780,-0.12197720896461739,0.03712819505570356,-0.19511390694401035,-0.04909501280559894,0.0010187432787340201,**
amor_1790,-0.13103133461133676,0.04775393834438357,-0.22921061376504492,-0.038828569794494346,0.006071672853504522,**
amor_1800,-0.14008546025805613,0.05930272104388503,-0.2618244956190562,-0.026591032544595158,0.01816636523160338,*
ancor_1730,-0.07471228755952519,0.06460870705192662,-0.18262985140496246,0.06029945321477413,0.24752530991281868,
ancor_1740,-0.0698243199451658,0.05085562341343898,-0.1516544804394839,0.043891298873537314,0.16975510366405316,
ancor_1750,-0.0649363523308063,0.04034711737897673,-0.12198964362777397,0.038012339678599995,0.10751968960610205,
ancor_1760,-0.06004838471644691,0.03604263268674863,-0.10353792607190304,0.034754553465725466,0.09570590656941963,.
ancor_1770,-0.05516041710208752,0.03999798624138956,-0.10373622418069949,0.05007054399577767,0.16787013395440117,
