Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),10.532301558491119,10.194779451258503,-9.402713331359577,31.20948594965671,0.301553665210952,
addi:year,-0.00604269198418402,0.0057828529053591555,-0.01774633194485172,0.005229570397596604,0.2960540845021146,
affett,-8.38617515753991,12.558946394645753,-32.7589351607106,16.931621766672926,0.5042963038265512,
affett:year,-0.0013811803696701503,0.004271134830173386,-0.009405123483835084,0.006907721691586164,0.7464108803163475,
allor,-12.860993293052337,12.48310216772007,-37.86668801189469,12.7948292144348,0.3028822393048465,
allor:year,0.0012603703148149571,0.004097144415699201,-0.0061520179901893976,0.009296656280489955,0.7583702462283906,
almen,-18.34117465905166,14.076346060161695,-42.87252039195447,9.86751707376935,0.19258214099439824,
almen:year,0.0042214238164793964,0.005470166873387331,-0.007308459948617549,0.014419607322712859,0.44028172974771546,
amor,-8.175178020254007,10.837949505965357,-29.347271989007517,13.052782984417522,0.45066285930288963,
amor:year,-0.0014537815823991483,0.0018087374035019078,-0.004916933999016656,0.0020608394399287936,0.4215385308610068,
ancor,-10.668290655447997,11.200023432294493,-33.94219601221589,9.975790140662681,0.34083132122541204,
ancor:year,-2.599928290721171e-5,0.002559461684098929,-0.004697642987973689,0.005159184495412311,0.9918951434989559,
barbar,-14.376853223079653,12.593213852903755,-39.569946160897096,10.912648087457033,0.25360578502201997,
barbar:year,0.0022173279658028915,0.003893719051261559,-0.00594662728308074,0.009681036879994135,0.5690421417044235,
bel,-12.427615259508313,12.528958959603385,-37.67094008639287,12.201339588275744,0.3212408239605705,
bel:year,8.808288354637245e-4,0.00413008794768604,-0.006843860038497535,0.009192386407347984,0.8311154315632876,
bell,-12.001258290406073,12.331412294232594,-37.89549465622282,10.786717962133265,0.3304407001020901,
bell:year,8.875437346031476e-4,0.00420370416548662,-0.007621481388013866,0.009543040226221816,0.8327829217564556,
car,-20.045991694942273,15.119286277562646,-49.948421094372044,9.23983846367801,0.18488750335793072,
car:year,0.005354720529807862,0.0058841823445516155,-0.00674625958519541,0.016969644025745335,0.3628122390627194,
chiam,-2.722555400063923,13.633172549983701,-29.897319020728382,23.723892109385506,0.8417145917799568,
chiam:year,-0.004658808897819027,0.004957469785869553,-0.014717273895394156,0.004912905393935509,0.34734305159947715,
cigl,-14.380091104436726,12.645284250689791,-39.02922360464022,9.230048391578684,0.25545885629897824,
cigl:year,0.0019380997661056192,0.004170214540094896,-0.006039587573155835,0.010242576832348999,0.6421117756677448,
cor,-24.986381308717906,10.894210212356052,-47.43044043726257,-3.8437574764616684,0.021816542432591086,*
cor:year,0.008100442837135033,0.0018739012913317281,0.00428242551396879,0.011491838207953365,1.540828805883084e-5,***
crudel,-8.797855155599155,11.352661443254398,-33.08183745254776,13.016262734228976,0.43836347077097876,
crudel:year,-0.0012426108888344586,0.002845822942687304,-0.006607181602201312,0.004564030332111024,0.6623697066472564,
debell,-18.74522510495782,13.454291717235858,-46.016022829108294,6.614409287831065,0.16354345943073065,
debell:year,0.004425738072864322,0.005013780416492648,-0.005218295833665179,0.014047237855311203,0.377390394973962,
degn,-20.844027694264497,13.437172799510689,-46.758866616555544,3.5138360422159947,0.12084867655901746,
degn:year,0.005992208393690949,0.005167769191019329,-0.003691237160792455,0.01583397746348742,0.24623824597082136,
digl,-34.99191783726266,14.000646958108547,-62.40845414787852,-7.862943293264085,0.012443638681390111,*
digl:year,0.014059162167485689,0.0056392593813438556,0.0031724559374506425,0.024791429213707406,0.012663794462013246,*
disper,-20.939806466116863,14.397419372489683,-49.42861636213248,4.77887255859807,0.14583159608687774,
disper:year,0.0057193501544663666,0.005502064029637869,-0.004786921107674856,0.01619956379428087,0.29857609401522334,
ditel,-30.237177090751562,19.528684051007442,-68.73705140929893,7.938027280827689,0.12153880229504237,
