Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),3.071135431510956,4.802362856719622,-6.066293209816509,12.461722096844703,0.5224944115069097,
addi:year,-0.001761752261286601,0.0027240811589443153,-0.0070757252542938635,0.0033753953028639637,0.517804979852678,
affett,-1.4290798551621469,6.1339478387860416,-14.231775826353882,10.304801214019607,0.8157778618544026,
affett:year,-9.903364755338643e-4,0.0020753691536781094,-0.00484418167546622,0.0032641150904357363,0.6332298953686084,
allor,-5.148674413745226,5.652879160898712,-15.6021787411238,6.375889396911971,0.3623977723910552,
allor:year,0.0011775499222207038,0.0018639364424606743,-0.002540606096501772,0.004865273478286592,0.5275474191338874,
almen,-4.730402796903166,6.535168450976512,-16.430736343659824,9.499565651905412,0.4691652406923513,
almen:year,8.684417878132055e-4,0.002553389757703862,-0.0044796791302684,0.005234301732275739,0.733771214763701,
amor,-1.1322556127967203,5.077936689718475,-10.921676155013417,9.167745788107249,0.8235545531396425,
amor:year,-0.001141811552563801,9.017974872477817e-4,-0.002891560535626584,6.238180541985447e-4,0.20545912091477445,
ancor,-5.697920650096892,5.321563560242659,-16.17563084035098,4.828426625374743,0.2842939852285782,
ancor:year,0.0014944481107697842,0.0011977211766120324,-6.863684777335198e-4,0.003880673310457908,0.2121252203221663,
barbar,-5.5912852492372025,5.875209868226979,-16.217076572522853,6.710142502717097,0.3412622725252495,
barbar:year,0.001499307355291027,0.0018002086393894136,-0.002372027554325425,0.004865573713915654,0.40492820678933095,
bel,-1.5528783460811033,5.782473838334377,-12.948513012773839,9.751089019826924,0.7882766592304199,
bel:year,-9.847902227722645e-4,0.001952260052499079,-0.004923033952199117,0.002797242020462787,0.6139550359895947,
bell,-7.175752458238071,6.089602174237564,-18.161591859117497,5.186573710422733,0.23865253870232495,
bell:year,0.0023635174873012535,0.002059100464769171,-0.0017759025357200631,0.0060234861333252464,0.25103469935599365,
car,-1.7580811597457329,6.713990818142594,-14.759807757816487,11.08322139847504,0.7934344864909433,
car:year,-7.385726232050816e-4,0.00281532946332475,-0.0067769709186360225,0.0045431080848114995,0.7930595747291893,
chiam,-1.9500415609529995,6.193748425621336,-13.851919949121397,9.589516578798282,0.752882917916452,
chiam:year,-6.82713926885709e-4,0.0023048491387805572,-0.0053677157462305326,0.003691039248455103,0.7670715136622166,
