Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,0.15296038694149772,0.13823422606605393,-0.11227771608935114,0.4244027608015824,0.26849697129356054,
addi_1740,0.09471816593707061,0.10405799046595982,-0.1101699002101586,0.29358750409053597,0.36269382168949915,
addi_1750,0.0364759449326435,0.07498025513223228,-0.11462558172294615,0.17613283538642555,0.6266311323535776,
addi_1760,-0.021766276071783608,0.059081478449032436,-0.14491503261248043,0.08960459706437332,0.7125666765039156,
addi_1770,-0.08000849707621072,0.06658688074914079,-0.21244352184228738,0.04854759295610204,0.22953192411171017,
addi_1780,-0.13825071808063782,0.09193265707149503,-0.32744361836063246,0.03423755550062138,0.13262617998816414,
addi_1790,-0.19649293908506493,0.12467567260976731,-0.4485960281810482,0.03960673518026209,0.11501826338694185,
addi_1800,-0.25473516008949204,0.16034663202362137,-0.5728216177361616,0.0465755604910122,0.11213875251559825,
affett_1730,-0.1933293005246881,0.11089803135656584,-0.4139843933427246,0.0355619134893482,0.08128002504345294,.
affett_1740,-0.19984732528006055,0.08479453058227825,-0.3666539090585158,-0.0249774576157838,0.018431078736367158,*
affett_1750,-0.20636535003543321,0.06358805465716988,-0.3334490298342896,-0.07248837957070711,0.0011730727459117146,**
affett_1760,-0.21288337479080566,0.05346361560916698,-0.32025161129454527,-0.10534423653923351,6.838482390873994e-5,***
affett_1770,-0.21940139954617832,0.0602898408808112,-0.33769601579056213,-0.1002115988195259,2.7358128038468255e-4,***
affett_1780,-0.22591942430155076,0.07983082646051927,-0.3804065113516864,-0.06967202602492495,0.004655131125039684,**
affett_1790,-0.23243744905692343,0.10522664117899416,-0.4389903980355112,-0.034507470864043675,0.02718006248098397,*
affett_1800,-0.23895547381229587,0.13316876658872856,-0.5015943908234795,0.018209731715901276,0.07275241426511068,.
allor_1730,-0.2838010857141158,0.09355675820029985,-0.4478715189564964,-0.08137056982001803,0.002417633172323326,**
allor_1740,-0.26097367954051487,0.07309814921817931,-0.38251124277330006,-0.09766877757882374,3.567336028961427e-4,***
allor_1750,-0.23814627336691352,0.059712873317160985,-0.3338794780127359,-0.10711489574520973,6.657938273825824e-5,***
allor_1760,-0.2153188671933126,0.058478461564525734,-0.3108055681128665,-0.08406790575407427,2.3139321975131834e-4,***
allor_1770,-0.1924914610197117,0.07004033909548403,-0.3128618113557492,-0.03258629458836652,0.005990622066319,**
allor_1780,-0.1696640548461108,0.08957333945299435,-0.3218043930098512,0.04435966801587553,0.05820700787608161,.
allor_1790,-0.146836648672509,0.1130173994896653,-0.3401431470388315,0.1206479936185329,0.19386181320416865,
allor_1800,-0.1240092424989081,0.13839905144380912,-0.3625470110112055,0.1908506471490959,0.37023851431419463,
almen_1730,-0.2749241199419594,0.12461213580617216,-0.4746456295781103,0.006990647470525467,0.0273672889886046,*
almen_1740,-0.25554831637680886,0.09005704067256086,-0.39562678710304544,-0.04960199919136743,0.004545022007676391,**
almen_1750,-0.23617251281165785,0.062466983145257456,-0.3342805898565908,-0.09639519470078288,1.563519342759349e-4,***
almen_1760,-0.21679670924650685,0.05388640474078495,-0.31022543854245815,-0.10020467211184875,5.7408512836209266e-5,***
almen_1770,-0.19742090568135628,0.07152015431018531,-0.3325725534464434,-0.05204346245142718,0.005773885399362394,**
almen_1780,-0.17804510211620528,0.10264642007038015,-0.38539226036589036,0.010876612383039802,0.08282096674836135,.
almen_1790,-0.15866929855105427,0.13844569281138502,-0.44138243932538146,0.10075839357352986,0.25176366904333475,
almen_1800,-0.1392934949859037,0.17609059993886966,-0.5141083955166872,0.18521183274369676,0.4289246702830737,
amor_1730,-0.11688832953474515,0.043546195463164676,-0.20364805070585326,-0.02840422610105685,0.007269545120837332,**
amor_1740,-0.13739673537672425,0.033752140203425755,-0.20195456292208175,-0.06865616576684772,4.686076416037042e-5,***
amor_1750,-0.15790514121870292,0.026426713449565004,-0.21021553174475047,-0.10467929279345278,2.2979511023610603e-9,***
amor_1760,-0.17841354706068202,0.023953366895225377,-0.22731029984903026,-0.13551486970499263,9.450025419077059e-14,***
amor_1770,-0.19892195290266113,0.027665588262809168,-0.25362855109140525,-0.14914565291839815,6.468209297622989e-13,***
amor_1780,-0.21943035874464023,0.03568240671080692,-0.29256119776376277,-0.15299705192556234,7.770838044253471e-10,***
amor_1790,-0.2399387645866189,0.04579641808986529,-0.33331970574286596,-0.15232470943856766,1.6123276743666798e-7,***
amor_1800,-0.260447170428598,0.05690007080387678,-0.38191203262798973,-0.14959726043150634,4.710760248919023e-6,***
ancor_1730,-0.2238881670174071,0.06453536435488276,-0.35187055491106567,-0.1008085619292929,5.21948043567571e-4,***
ancor_1740,-0.2033298275898825,0.05013509602137933,-0.29716391938369563,-0.1070795465486386,4.9997527404633715e-5,***
ancor_1750,-0.1827714881623579,0.03925270973130828,-0.25340745298496836,-0.1045953163853776,3.219787256870246e-6,***
ancor_1760,-0.16221314873483328,0.035306590842925194,-0.22706137520535846,-0.09129778886968068,4.339639008180548e-6,***
ancor_1770,-0.14165480930730867,0.04038400995655439,-0.2210358353834286,-0.060373101186966094,4.520061276624093e-4,***
