Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),1.4752789711381478,3.4599786384055546,-5.406998854094325,7.848667558844837,0.6698281762778688,
addi:year,-8.748942874750392e-4,0.0019636085614336937,-0.004498432159370043,0.0030539211972711888,0.6559192098885911,
affett,1.630925120854974,4.443194701456248,-6.804910852883207,10.063029053405364,0.7135732436164167,
affett:year,-0.0018307505430744224,0.0015734850584051287,-0.004591630771997752,0.0012745821814241708,0.2446265234995486,
allor,-3.8820933115487155,4.342372380491316,-12.355382879070637,5.216871334071126,0.37132036288470116,
allor:year,0.0013549724359613621,0.0014991771706428202,-0.0015981379568699257,0.0042463305979508845,0.3660957630050575,
almen,-8.59367005109077,4.743740880468091,-16.525813287102952,1.4494050956327875,0.07005098889480071,.
almen:year,0.003906816836023719,0.0018749160471509365,-2.6843794632203967e-4,0.0070061985002630636,0.03718482983068529,*
amor,-1.5378130827134313,3.6197590486546867,-8.365911768267285,5.64041521458775,0.6709543939202126,
amor:year,-2.153202622678118e-5,6.509044008833452e-4,-0.0013209020139095062,0.0012638994518174732,0.973610658602479,
ancor,-2.035631584221513,3.7874431668889286,-9.30641616283543,5.168004014524906,0.5909440039210666,
ancor:year,2.4716111073666314e-4,8.712060876067904e-4,-0.0013693081562671644,0.002050119897977747,0.7766403442735792,
barbar,-2.3475613447878154,4.219287359755871,-10.653195561394625,5.989054584569338,0.5779455612383957,
barbar:year,4.2674811314739143e-4,0.0013610233947107255,-0.002086106284867759,0.0031838406347305345,0.7538632708313691,
bel,5.769520752685122,4.274301359125629,-1.6081737377918002,14.44916688415431,0.177074982046355,
bel:year,-0.004263851076500546,0.0014010590904487634,-0.007283734351611246,-0.001569098424133476,0.0023399451619411675,**
bell,-4.634088382583102,4.242425592635875,-12.623439207514306,3.9134449721827362,0.27469225922906637,
bell:year,0.0017523411533550692,0.001466786342867505,-0.0013581892386923611,0.004316151979212791,0.23221185421463658,
car,-0.9400165597599677,4.9850344553712675,-10.864017072920186,8.401918377265707,0.8504316379858292,
car:year,-3.718318405618512e-4,0.0020313663611532993,-0.004046139197511389,0.003970004245739369,0.8547625614571513,
chiam,1.2791270467359122,4.516858199722343,-8.183311451153486,9.79021546146316,0.777031537540785,
chiam:year,-0.001680734475672874,0.0016922542507749486,-0.005158340186293096,0.0017416145261238013,0.32061608186631413,
cigl,-2.44596523099014,4.304977186614218,-10.731357055493383,6.20818108495291,0.569918539596576,
cigl:year,4.4714455504706453e-4,0.0014307156666825774,-0.0023061012817978004,0.0035579081735925824,0.7546361805405519,
cor,-4.727685842135696,3.6694017385923763,-11.415347543824865,2.49962169898077,0.19760404300567255,
cor:year,0.001832093523268636,6.615916976890694e-4,4.700137161484983e-4,0.003084351850892187,0.005619053233360545,**
crudel,-2.569736693552881,3.714382960869846,-9.613273000268478,4.608066734814568,0.48904153609185536,
crudel:year,5.369059320229826e-4,9.735333976848279e-4,-0.0012878346685804387,0.0025019208824437417,0.5812893734893017,
debell,-2.2893737656384303,4.601242582946714,-10.994604476773553,6.939211812146931,0.618797343014889,
debell:year,4.5013844422454326e-4,0.0017413181353197573,-0.003144202980031853,0.003642467619858982,0.7960176338966778,
degn,-1.769912795496882,4.712506146427579,-10.649337310909974,7.589704484681307,0.7072307809891815,
degn:year,1.4953233823946805e-4,0.0017295301773747162,-0.003143180554945723,0.0036298854311954286,0.9311020580361307,
digl,-5.553478832569706,4.908532993878157,-14.714633903556333,4.56095126072762,0.2578898053304303,
digl:year,0.002344680225987253,0.0020106723193229893,-0.0017666826908512047,0.006124107447622327,0.24356693253314246,
disper,-5.269390764496724,4.737332310369686,-13.958765548411062,4.19808577523005,0.2660040998233181,
disper:year,0.0019801168961030135,0.0018492771261842454,-0.0017138020199646109,0.005505612281360369,0.28428102413614503,
ditel,-9.70278615092367,6.6089503251925885,-22.361022275269463,3.5260122063207247,0.14206941079930344,
ditel:year,0.004678463069585032,0.003179306641140212,-0.0016710245752444512,0.010770967216267597,0.1411463133256604,
