Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,-0.09384732667617302,0.08618608227575457,-0.27723115717619945,0.06560931185908059,0.2762015596718941,
addi_1740,-0.1112340573920747,0.06461485936372406,-0.24791644963148968,0.0074012016625197834,0.08516131910426931,.
addi_1750,-0.1286207881079764,0.045848690483531705,-0.22659878515318382,-0.042931441001465336,0.005026481222518431,**
addi_1760,-0.14600751882387808,0.03477222862322314,-0.2197110295993237,-0.0836588110474556,2.6813272268550674e-5,***
addi_1770,-0.16339424953977977,0.03867940593787419,-0.24401984407710733,-0.09097526929844434,2.3966162273242458e-5,***
addi_1780,-0.18078098025568146,0.05443407113103126,-0.2965031027547567,-0.08095423389908533,8.966348397678319e-4,***
addi_1790,-0.1981677109715827,0.07490008579434097,-0.3552144417927069,-0.05897604213058222,0.008150742950325971,**
addi_1800,-0.2155544416874844,0.09714402040275696,-0.4128908156348694,-0.029953336341483096,0.026492425417049752,*
affett_1730,-0.26716718301399633,0.06258151593778113,-0.38765351766441225,-0.14549930280072315,1.962571781479914e-5,***
affett_1740,-0.27704122840938084,0.0476060510884736,-0.37085699805305217,-0.18368700277452782,5.904013955661743e-9,***
affett_1750,-0.28691527380476534,0.0359587195906816,-0.3585002859821548,-0.22266345606003143,1.4750196865487222e-15,***
affett_1760,-0.29678931920015006,0.0315678060713678,-0.363516509675106,-0.2381884326135459,5.371636912670175e-21,***
affett_1770,-0.30666336459553456,0.037105615436386595,-0.3822458119851747,-0.2345990805294656,1.4015457681721605e-16,***
affett_1780,-0.31653740999091906,0.04933488081329316,-0.4155815005496989,-0.2230726618688216,1.3981183926481558e-10,***
affett_1790,-0.32641145538630356,0.06455879246087229,-0.45505158406501856,-0.20703292334414325,4.280648519841097e-7,***
affett_1800,-0.3362855007816883,0.08110825084012986,-0.49598887900906957,-0.187210038740169,3.381391835129487e-5,***
allor_1730,-0.25454562781181433,0.05487750604645427,-0.35581283647891443,-0.14201704274864915,3.5106092393681667e-6,***
