Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
addi_1730,-0.0891827756589767,0.0575421122749381,-0.19673423251162356,0.024682153698366027,0.12117279613613675,
addi_1740,-0.07077971159331486,0.04321893581321735,-0.1512126546590829,0.016239812346095513,0.10148399889018767,
addi_1750,-0.05237664752765259,0.03078399060251352,-0.11307455847263645,0.007761366161075023,0.08886323258940712,.
addi_1760,-0.03397358346199075,0.023461195170483187,-0.07941717165576004,0.012225202906247732,0.14759591833284752,
addi_1770,-0.015570519396328919,0.026003792359242328,-0.06820269863377255,0.03751876146476393,0.5493204061307242,
addi_1780,0.002832544669332915,0.03640003697966391,-0.06784459773090845,0.07373743393095096,0.9379735580312687,
addi_1790,0.021235608734995193,0.04996723030149291,-0.07715360372282191,0.11393005379034979,0.6708434462477271,
addi_1800,0.03963867280065703,0.0647416516062665,-0.08562308695606811,0.15903069659897184,0.5403662691381701,
affett_1730,-0.0784895388657878,0.045425340223206837,-0.16749051424598688,0.018299413095631663,0.08400973280641333,.
affett_1740,-0.07083086420165352,0.03447989592949511,-0.1364235287188701,0.0031375637395276317,0.039949991981228464,*
affett_1750,-0.06317218953751924,0.02559682025145339,-0.11180188604309084,-0.011290340870403103,0.013588163207167166,*
affett_1760,-0.05551351487338496,0.021504964204185368,-0.09883559118676254,-0.011223670370479766,0.00983925377478087,**
affett_1770,-0.047854840209250904,0.024711577420776933,-0.09193306287871561,0.0024332011225925714,0.052802182310290165,.
affett_1780,-0.040196165545116624,0.033163126007427136,-0.09745298146553842,0.029411241078137747,0.22548402352011662,
affett_1790,-0.032537490880982345,0.04393012735364658,-0.10853946801797958,0.060375355677969506,0.4588968191292529,
affett_1800,-0.024878816216848065,0.05568529021916293,-0.1273289274351842,0.09516897780545527,0.6550372554758885,
allor_1730,-0.07766890179825525,0.039714620852265584,-0.15704194730803525,-0.005103305671606143,0.05050341991934075,.
allor_1740,-0.08185432519748592,0.030786961983245868,-0.1445366462883675,-0.02749327480017619,0.007843499339111291,**
allor_1750,-0.08603974859671659,0.02431739076251806,-0.1393950180755845,-0.04772531589532432,4.028675087920592e-4,***
allor_1760,-0.09022517199594726,0.022533231136628574,-0.1439538408403241,-0.05467734007402379,6.225565050370003e-5,***
allor_1770,-0.09441059539517782,0.026402084463864054,-0.1616106869162498,-0.05399130016990393,3.4905631631551766e-4,***
allor_1780,-0.09859601879440849,0.034048585421979756,-0.18245163995469263,-0.04588725469437872,0.0037825971002315,**
allor_1790,-0.10278144219363916,0.04352533539284044,-0.20841553031092194,-0.03351789475058675,0.018205274555884072,*
allor_1800,-0.10696686559286983,0.053875003661263916,-0.23464634349384902,-0.022193227494236172,0.04709290185596043,*
almen_1730,-0.03700385282298235,0.04878391687990971,-0.11651220957719495,0.07548561450101496,0.44813635665052337,
almen_1740,-0.04126335027051009,0.03589660164340964,-0.09695298156633389,0.040801793216153175,0.2503474939633294,
almen_1750,-0.04552284771803783,0.025901102453028752,-0.08726400772833325,0.015099180234137765,0.07882170692375283,.
almen_1760,-0.049782345165565456,0.022951554247063428,-0.09240503738030138,-0.0017136007284270004,0.030081281395671556,*
almen_1770,-0.054041842613093194,0.02926236852625655,-0.11082065366877931,0.0020352996207570694,0.0647756343528843,.
almen_1780,-0.05830134006062093,0.04073578545350459,-0.1401626365742766,0.014468719730032826,0.15237090662045977,
almen_1790,-0.06256083750814867,0.05418604854202247,-0.1771572935505325,0.029377454624660997,0.24827221775687758,
almen_1800,-0.06682033495567641,0.06845770323360127,-0.2129697434075186,0.047657025212472316,0.3290238083410369,
amor_1730,-0.054397316770186166,0.017996574806605183,-0.08826877242318686,-0.01973136548997714,0.0025057324860080846,**
amor_1740,-0.05235493615206788,0.013606515776825766,-0.07858222338560181,-0.0252594458953221,1.1919098111101436e-4,***
amor_1750,-0.05031255553394959,0.010248045801918447,-0.07018833240603918,-0.029951833240407937,9.131913754639593e-7,***
amor_1760,-0.0482701749158313,0.009139596177587169,-0.06640584882780252,-0.02999671251446228,1.2817658705427777e-7,***
amor_1770,-0.046227794297712954,0.010984834918124688,-0.0679207666134563,-0.024603873295010497,2.572666311703476e-5,***
amor_1780,-0.044185413679594665,0.014711409940093262,-0.07235668326785775,-0.015874160309219457,0.0026691179794615365,**
amor_1790,-0.042143033061476376,0.01925640597386844,-0.07930424863288134,-0.0062572610352413195,0.02863173297774539,*
amor_1800,-0.04010065244335809,0.024162312885842183,-0.08641077078083009,0.008131004250566022,0.09698763376585973,.
ancor_1730,-0.10759727136056774,0.02667089776218013,-0.15171367472161176,-0.05073978059371995,5.477520733374598e-5,***
ancor_1740,-0.09807727344203432,0.02078559634973999,-0.12972461482144207,-0.05028131515070898,2.375654167217438e-6,***
ancor_1750,-0.0885572755235009,0.016146074955731848,-0.1108301213246525,-0.04801921548485696,4.140413630329898e-8,***
ancor_1760,-0.0790372776049677,0.014046385657030267,-0.09675525336192317,-0.04007178386520876,1.8350198880831543e-8,***
ancor_1770,-0.06951727968643429,0.015551741261481549,-0.0886575402053372,-0.028477595659532652,7.819617278557029e-6,***
ancor_1780,-0.05999728176790087,0.01985857132802452,-0.08746682072183203,-0.00938462512811029,0.0025175129392084514,**
ancor_1790,-0.05047728384936745,0.02558944209639074,-0.08555150847585943,0.011553382152396463,0.048543156517396796,*
ancor_1800,-0.04095728593083403,0.031987915391706284,-0.0855013413555605,0.033795434795631234,0.20040494382914173,
barbar_1730,0.02449594742045791,0.038666093206155314,-0.04753156810605711,0.10112359891335648,0.5263906794379546,
barbar_1740,0.019180377560232498,0.02978455796829262,-0.035484146836230385,0.07820642595804886,0.5195945446515999,
barbar_1750,0.013864807700006976,0.022571757859957506,-0.025624582968340054,0.060648930008678444,0.5390470512383674,
barbar_1760,0.008549237839781565,0.019030497691679013,-0.024387612653545592,0.049568928947609975,0.6532594048270998,
barbar_1770,0.003233667979556154,0.021098499043295093,-0.032758492959787895,0.048257756368915765,0.8781890566601234,
barbar_1780,-0.002081901880669368,0.027539874933436504,-0.05135988517928656,0.05558895009708336,0.9397405912592045,
barbar_1790,-0.007397471740894779,0.036083985240009185,-0.0731501783030898,0.06522016629087829,0.8375666087960993,
barbar_1800,-0.01271304160112019,0.04556286316986186,-0.09737449016114905,0.07794225597758027,0.7802279347895098,
bel_1730,-0.12753724709773628,0.03365862887654939,-0.18811689746949334,-0.055619297392373174,1.5116988648550007e-4,***
bel_1740,-0.1341024429755593,0.025255948814622016,-0.17897137704713262,-0.07955966056824003,1.0978360918255043e-7,***
bel_1750,-0.1406676388533823,0.020368102873418878,-0.1754656861824491,-0.09755167219503981,4.975589655617009e-12,***
bel_1760,-0.1472328347312053,0.021538182148347306,-0.1858590022298559,-0.10162645025522851,8.149242629352386e-12,***
bel_1770,-0.1537980306090283,0.028017208592335585,-0.20697522691580772,-0.09719573610226334,4.0327156309824076e-8,***
bel_1780,-0.1603632264868513,0.03712238779786861,-0.2285416650092632,-0.08718731857776499,1.561337766587126e-5,***
bel_1790,-0.1669284223646743,0.04736260535255732,-0.2557820209914399,-0.0740636988799483,4.243193407012852e-4,***
bel_1800,-0.17349361824249732,0.058141191140246525,-0.28362801146664457,-0.061022214831271585,0.0028450191194141165,**
bell_1730,-0.14951678038374183,0.03626111291786829,-0.23036861095441474,-0.08296877180364366,3.734231055843877e-5,***
bell_1740,-0.12843731842500672,0.026136390689088265,-0.1874786864887111,-0.08263926033350515,8.91828442803128e-7,***
bell_1750,-0.1073578564662716,0.018958325568506018,-0.15057325706110847,-0.0758795116943033,1.488929153735417e-8,***
bell_1760,-0.0862783945075365,0.018541571680114523,-0.12449830024331282,-0.05454939765315859,3.267585650003361e-6,***
bell_1770,-0.06519893254880138,0.02522352541328681,-0.11757511170944225,-0.022997385806365102,0.009742245821300758,**
bell_1780,-0.04411947059006627,0.03516713195697329,-0.11919620180268012,0.014474256694791438,0.20963653307542032,
bell_1790,-0.023040008631331155,0.04631730440971454,-0.12223554732928632,0.058254348760839215,0.6188798890129654,
bell_1800,-0.001960546672595598,0.0579820902295157,-0.1244859442670917,0.10032086241734314,0.973026293363001,
car_1730,0.020460710723035236,0.05777110864951486,-0.09408587319790124,0.126691519157454,0.7232125592584406,
car_1740,0.013906518528799428,0.04361391213868443,-0.07600017617416854,0.09737438264644555,0.7498363897744482,
car_1750,0.007352326334563619,0.03205900657959124,-0.05606015651546731,0.07120470543661071,0.8186067568356307,
car_1760,7.981341403280329e-4,0.02672677883850238,-0.048821687872105314,0.05389076895923775,0.9761765428615939,
car_1770,-0.0057560580539077755,0.031012831935776468,-0.060342461435582445,0.05747671491198462,0.8527565203657539,
car_1780,-0.012310250248143584,0.042073804387691996,-0.0838045749682838,0.07617859917776117,0.7698378145020568,
car_1790,-0.01886444244237917,0.05603167425673962,-0.11601967767731337,0.1008957324261547,0.7363622004673918,
car_1800,-0.02541863463661498,0.07120271243257197,-0.15092439036012062,0.12672639941477906,0.7210995198962504,
chiam_1730,-0.07623072293707867,0.046623137920641274,-0.1662880108320096,0.013493365368321505,0.10204053894407707,
chiam_1740,-0.08652755697588677,0.035043940317310215,-0.152702377604827,-0.019044755607768294,0.013544726833104752,*
chiam_1750,-0.09682439101469509,0.026412809285778913,-0.14580356574450518,-0.04400849480591566,2.465550910787176e-4,***
chiam_1760,-0.10712122505350341,0.02413282440532654,-0.15054842746248448,-0.058240236253030264,9.045409496386806e-6,***
chiam_1770,-0.11741805909231173,0.029704341622015202,-0.16901838004038797,-0.05555698944662708,7.721224097460921e-5,***
chiam_1780,-0.12771489313112006,0.03996874512195889,-0.1995279621199957,-0.04502134969349223,0.0013965211624355843,**
chiam_1790,-0.13801172716992816,0.05222883533124691,-0.23885539532180472,-0.03289854582497327,0.008231028663806603,**
chiam_1800,-0.14830856120873648,0.06537124651940306,-0.27685096995061076,-0.01689849945515521,0.023285817667003106,*
cigl_1730,-0.048204358734552144,0.042287937754579355,-0.13942169123032072,0.026128621870349773,0.2543246299500373,
