Fixed_effect,Coefficient,Std_error,Lower_95_CI,Upper_95_CI,p_value,Signif
(Intercept),3.4018581331625786,3.75651754834541,-3.421924615333635,11.154259997200704,0.3651538330582707,
addi:year,-0.0019826451482953707,0.0021313579364206914,-0.006397324832829681,0.0019089052536938322,0.3522539417845547,
affett,-7.042986980008982,4.627702315607272,-15.761286990644564,2.3555433345365637,0.1280294373721057,
affett:year,0.00198486943442423,0.0015554667653665804,-0.0010854272046085741,0.004974117012693543,0.20193419330695322,
allor,-7.1893502574388695,4.491177970683533,-16.057906355295692,1.4644407578085974,0.10942751050528178,
allor:year,0.0020305533279771477,0.0013822134866191959,-7.014465863616452e-4,0.004722103243712157,0.14181675460579332,
almen,-3.668225517381973,5.10680208391946,-12.790989888809143,7.043387450788091,0.472571173690551,
almen:year,1.0548600122784175e-4,0.0019096744592595563,-0.004232537092618589,0.0034297263951980936,0.9559491043798776,
amor,-2.7679964040737106,3.986737626194514,-10.603315000899356,4.4974294387326434,0.4874933879694464,
amor:year,-4.415190897882534e-4,6.560092511501221e-4,-0.001844755020976211,7.286754743376932e-4,0.5009231785932766,
ancor,-5.966552116643936,4.00832644221476,-14.193371971127517,1.2969802264325323,0.13660868121107278,
ancor:year,0.0013622411425459086,9.242978005705396e-4,-4.1273871496369486e-4,0.0032284976343547682,0.1405322302947032,
barbar,-3.917148947304617,4.474231928214943,-12.48981969214067,5.214309103659646,0.3813069069240087,
barbar:year,3.175523875939276e-4,0.001344800498943268,-0.0026044138464839796,0.0026873875816443436,0.8133291148079386,
bel,-2.9864646001757564,4.522482512702056,-11.970821484410948,5.6766137743769765,0.509023111757273,
bel:year,-3.736630620663335e-4,0.001409768678714143,-0.0035351257166130277,0.0021478464161877025,0.7909688275624136,
bell,-8.652512512275731,4.5277540302457,-17.88604142742605,-0.2659542332839834,0.05600530293992311,.
bell:year,0.0029473001438445677,0.001498808301471327,-5.35497646056947e-5,0.0060147799377112225,0.049249073638197735,*
car,-0.5399537529671598,5.23407737178408,-12.075883032124906,8.671938410888425,0.9178350258366107,
car:year,-0.001604117587416142,0.0020633050792081176,-0.005301682684747136,0.002765092832846718,0.43689302172542827,
chiam,-1.1103373261307763,4.915426502975719,-11.417907275373972,8.230492258279627,0.8212882995513942,
chiam:year,-0.0013643610265133132,0.0018188666539211752,-0.0047657557817018265,0.002156719489119176,0.453184828168051,
cigl,-0.36077331635284887,4.4801204106996035,-9.998897282850072,7.930435980251331,0.9358176508602986,
cigl:year,-0.0017318595661438999,0.00140985087509877,-0.004493204420133696,9.756936933862504e-4,0.21929718024189077,
cor,-2.086887112566071,3.9060054620678306,-9.477294856612957,5.597542761742426,0.5931502156437933,
cor:year,-8.772201078195465e-4,6.565507047708372e-4,-0.0023198366234262607,2.1713283248606322e-4,0.1815152404740496,
crudel,-7.505813028863683,4.166922133589546,-15.812605335142514,0.12007152689759577,0.07165802024526245,.
crudel:year,0.0021987514382251546,0.0010118054303109897,1.600832472719833e-4,0.0040174286582377525,0.02977301054554702,*
debell,-6.383880148764948,4.929543260435079,-16.286352729749765,2.4171054568332826,0.19531171823339302,
debell:year,0.001664080651601823,0.0018035644436814277,-0.0018331487306964477,0.005144990707147214,0.356183295180757,
degn,-8.881254528086183,4.809070947777869,-18.738586224968778,0.4069415461234034,0.06478028335467656,.
degn:year,0.0030945081489845232,0.0017592713715524424,-2.643879409185032e-4,0.006522881008398133,0.07858235469382054,.
digl,-12.987735035743809,5.1902082862201775,-23.294851297856923,-3.8892290669485843,0.012337072869964265,*
digl:year,0.005421593294982038,0.002004302628178031,0.0014312888625007119,0.009100646397631385,0.006830903839103598,**
disper,-5.7437065280315895,4.933531421414776,-15.325563609749004,3.5725196491364573,0.24433564100748065,
disper:year,0.0012287496841156442,0.0018882201107654048,-0.002342833538372318,0.0048405079621054595,0.5152111475884048,
ditel,-15.049611638184983,7.03990555364629,-28.284386826482656,-1.7090915557900235,0.032536421465427304,*
ditel:year,0.006654248314024536,0.003329069864650397,1.6670569599153934e-4,0.012947161905938372,0.045626633732678404,*
donar,-5.892325861183228,4.755542308171302,-16.01940403952363,2.461554814180275,0.21532922740096347,
donar:year,0.0012298943601166325,0.00159144648847247,-0.0017466569576228867,0.004511882044157978,0.4396316360029828,
dì,108.48453830475448,170.08696192376502,-224.65852286739528,448.39749872127254,0.5235921133877364,
dì:year,-0.06302995766330917,0.09661619459580677,-0.2567015474149012,0.12471498629575191,0.5141595034037407,
fat,-4.9765434506331045,4.742649241255404,-14.538341513656832,3.9528978524073644,0.2940321496016583,
fat:year,8.809085941383823e-4,0.0015268295204597917,-0.0019264251585123973,0.003905702592663949,0.5639713290027997,
fedel,-3.7826628803399407,4.615328485761032,-12.75374842302387,5.380567822884847,0.4124516299830838,
fedel:year,1.375250376003906e-4,0.001540112512933009,-0.002863416120855837,0.003041418893319762,0.9288471111831574,
fid,-4.8154823042951245,4.496671422641716,-13.840476489364734,3.5287054368049895,0.28421470811456023,
fid:year,7.84309612387336e-4,0.0015049009092382762,-0.002144656844163983,0.0037016923796079604,0.6022481631170779,
fug,-0.859848702431791,4.795201088831471,-10.272446882291684,8.310219189601803,0.8576908247691157,
fug:year,-0.0014240373772203196,0.0017045091588486726,-0.0046869402620697545,0.002022654412693679,0.40346267060617336,
guerr,-7.025969375304064,4.73224719608659,-16.51020402237237,1.9189031085173551,0.1376232017847237,
guerr:year,0.0019352117804120605,0.0016204004935657852,-0.0014479504044333134,0.005086450030993914,0.23236848756916129,
imper,-0.4842912960683285,4.635243233358,-9.560304809504212,8.730423907030412,0.9167882536797456,
imper:year,-0.0016685254332430798,0.0016052169174718533,-0.004878595384756272,0.0011544439228771206,0.29860050801183236,
infedel,-7.8725480297944195,4.54948791802651,-17.458329515176857,0.3379399356705215,0.08355435474007611,.
infedel:year,0.0025126659457085842,0.0014839293404803951,-4.803722744374428e-4,0.005520888553042842,0.09040755889642461,.
infel,-8.574159501849662,4.935157494540206,-17.275653272717687,1.9640961034530113,0.08232313670032362,.
infel:year,0.002988765380556937,0.0018673354949589715,-9.853283585677449e-4,0.006041936434507304,0.10947643969064479,
ingann,-0.5843341363527494,4.3584357588573654,-9.074887829634374,8.21840287241045,0.8933474661434319,
ingann:year,-0.0016606933215031442,0.0013093230914953018,-0.0043395578023533825,6.732121059800938e-4,0.2046693415231224,
ingrat,-9.542798581844096,4.692707228757719,-18.937017997004176,-0.187185803268148,0.041998196124231967,*
ingrat:year,0.0034976911430171366,0.001571061581520571,3.806633602932678e-4,0.006692284530495365,0.02599252799074701,*
lagn,-0.6607505811458494,4.9528948805087305,-11.106833156300356,8.60865309475356,0.8938715521943562,
lagn:year,-0.0016379365272761672,0.0017390792443448897,-0.004960781945249798,0.0017571251908594316,0.34627393490329333,
lasc,-2.7813428146891073,4.562821256308954,-11.573489253437396,5.9848355830910185,0.5421490331463583,
lasc:year,-0.00037033943745447175,0.0014555048152395272,-0.0035374475160673074,0.002109811650883122,0.7991552315056203,
lid,6.403071774229646,4.721468581655985,-3.0823849864079844,15.452130544744158,0.17504793286162582,
lid:year,-0.005741530823645793,0.0016195153735355764,-0.008827283157154631,-0.0026630616210066484,3.9229238439552743e-4,***
mor,-2.3306725128850103,4.001082164941588,-10.377171669215826,5.191956434122572,0.5602228474070858,
mor:year,-7.435559238078893e-4,8.787782139516704e-4,-0.0026656989917166187,8.216558729502233e-4,0.39748320125097314,
nè,-3.7870898323270095,4.330714868450221,-12.749169670436464,4.458183075497772,0.38186114400288873,
nè:year,1.8624652203082738e-4,0.001226399092923844,-0.002227670322246599,0.0024800595028339188,0.8792937845850666,
ond,-3.052601913792431,4.666729833284052,-12.018080991609805,6.244802839700529,0.5130344150037112,
ond:year,-2.773230084558919e-4,0.001603246304999713,-0.0035533129546007204,0.0028248225291847466,0.8626703534555116,
pac,-6.400855464099566,4.440663155025257,-15.742783961211193,1.8878292865446606,0.14946639531276643,
pac:year,0.0017403853945798205,0.0014899175846949692,-0.0010734616844207618,0.004733932711843248,0.24276300222860214,
parl,-5.21584016218045,4.2274082357608025,-13.57659365153808,2.8812602239272214,0.2172718072406368,
parl:year,9.433456177912294e-4,0.0010932462477707462,-0.0014339334643687376,0.0027787161472544743,0.38820078452198753,
perd,-3.1130255832293616,4.4941323451320185,-12.695576665634244,5.540894345446885,0.48850620422442287,
perd:year,-2.2222237551784387e-4,0.001471523169743673,-0.003087085434462954,0.0026208749634017447,0.8799637203266111,
perfid,-6.859600774503917,5.174441384169408,-16.35693934325744,3.9212177942887454,0.184949088505905,
perfid:year,0.001859665005632734,0.0020808607107597127,-0.002621595173321545,0.005802332983240073,0.37148247980621,
piet,-1.211667501047696,4.09614158503733,-9.46916919582224,6.709091213890432,0.767377449441914,
piet:year,-0.0013245578156873049,9.131041753870219e-4,-0.0030663172666789518,4.7267483171702866e-4,0.14688855998773515,
pover,0.27842432603168243,4.82810469259319,-9.10835421466592,9.335000554426943,0.9540135480525918,
pover:year,-0.0021833746005224387,0.0017279127676623526,-0.005715346574902733,0.0011716541075021242,0.20637695318451968,
prov,-9.353297623391475,4.324631851971921,-17.934355868524285,-0.8828434531972881,0.03055685289541671,*
prov:year,0.0033239235122574182,0.0013477193735885373,8.980338448472319e-4,0.006058192539239374,0.013650471914985746,*
pur,-3.645054656751158,4.733598580608559,-13.059762275068103,5.416338325713108,0.4412768664921578,
pur:year,1.8823993723125434e-4,0.0016814920549261586,-0.0029603428723119166,0.003512983631885912,0.9108645124754587,
qual,3.2744503451346714,4.720009917749455,-6.178547893614016,12.08658640591469,0.4878465166856296,
qual:year,-0.003711280027089897,0.0015155549590264315,-0.006893756774512731,-8.902764355098793e-4,0.01433358883618968,*
sai,-1.464760237768726,4.637783696572197,-10.368274835880648,7.555019461594271,0.7521300708661426,
sai:year,-0.0011712419510055082,0.0016732943940293828,-0.00475118270095514,0.0019160567612943875,0.48395123746638063,
scompagn,2.9125829326752712,5.823736600814578,-9.408809898626938,13.8370812146044,0.616988676042939,
scompagn:year,-0.0037850687624218908,0.0025570611623264516,-0.00868503432878402,0.0011070152275857042,0.1388087346593083,
sent,-3.914712626853052,4.192431306818961,-12.415825815287333,3.593024051210064,0.35042918766673903,
sent:year,2.6839314792126244e-4,0.0011196892993682655,-0.0018471396590795382,0.0024951489446928612,0.810560326421328,
sol,-0.002728830256858022,4.483005377493435,-9.041379947281857,8.412807449910785,0.9995143232690565,
sol:year,-0.001874581430939117,0.0013532359936915556,-0.004489101275488439,9.019451214676145e-4,0.165973490891735,
sospir,2.116873185993054,4.693223273678249,-7.3243985044822955,10.674695094150742,0.6519543071067706,
sospir:year,-0.0032226748136557817,0.0015740959991811685,-0.0064837676304404885,-2.2921061528754353e-4,0.04062688784389004,*
spos,-0.8091049949635903,4.6279306986818725,-9.947412597552354,7.924840408428319,0.8612125575260741,
spos:year,-0.00148815784794553,0.0014617496525954363,-0.0042530723872003864,0.001321492890599836,0.30864651834421764,
sì,-6.042998972970859,4.330367686214705,-14.789938752116957,2.28621810819599,0.16286714213574904,
sì:year,0.001470086774325961,0.0011652635250711894,-9.453398021516476e-4,0.0036477159004147303,0.20709574964282576,
terror,-7.772109661444458,4.8408112034124295,-16.84043633930577,1.598115661182865,0.10837530647696732,
terror:year,0.002450591273554412,0.0016860174961867856,-7.789463384208806e-4,0.005412546574013029,0.14609076517161282,
tradit,-3.2820819021849377,4.82925599990835,-13.116741927587215,6.05037472028524,0.4967420941223516,
tradit:year,-9.92174503101217e-5,0.0017058167373011311,-0.0033534089198573513,0.0033392760892503696,0.9536178439514179,
trem,-3.7230452676669015,4.376012539886106,-12.522888419873272,4.584474120019171,0.39488886682995517,
trem:year,1.3725221858120298e-4,0.0013394417576906106,-0.0024394808887493783,0.002663105733568491,0.9183838481966193,
