Effect,Coefficient,Effect,Coefficient
(Intercept),3.9561,addi:year,-0.001
affett,6.8878,affett:year,-0.005
allor,-0.3871,allor:year,-0.0008
almen,1.492,almen:year,-0.0017
amor,2.9714,amor:year,-0.0027
ancor,11.84,ancor:year,-0.0077
barbar,7.1955,barbar:year,-0.005
bel,7.3374,bel:year,-0.0051
bell,2.0707,bell:year,-0.0021
car,5.5801,car:year,-0.0041
chiam,10.3567,chiam:year,-0.0068
cigl,-1.2991,cigl:year,-0.0002
cor,5.4326,cor:year,-0.004
crudel,2.2926,crudel:year,-0.0022
debell,8.887,debell:year,-0.0058
degn,4.8667,degn:year,-0.0037
dì,-454.096,dì:year,0.2571
digl,10.5629,digl:year,-0.007
disper,4.1866,disper:year,-0.0033
ditel,-4.0384,ditel:year,0.0014
donar,1.3788,donar:year,-0.0017
fat,-8.4712,fat:year,0.004
fedel,0.3163,fedel:year,-0.0012
fid,6.9692,fid:year,-0.0049
fug,8.2596,fug:year,-0.0055
guerr,-5.4993,guerr:year,0.0022
imper,14.6958,imper:year,-0.0094
infedel,19.7641,infedel:year,-0.012
infel,11.2602,infel:year,-0.0074
ingann,9.8508,ingann:year,-0.0065
ingrat,13.1106,ingrat:year,-0.0084
lagn,10.1543,lagn:year,-0.0068
lasc,2.9067,lasc:year,-0.0026
lid,5.9637,lid:year,-0.0043
mor,9.256,mor:year,-0.0061
nè,3.2155,nè:year,-0.0028
ond,23.8005,ond:year,-0.0143
pac,-1.3818,pac:year,-0.0001
parl,8.3378,parl:year,-0.0056
perd,11.2522,perd:year,-0.0073
perfid,31.9373,perfid:year,-0.0187
piet,1.4837,piet:year,-0.0018
pover,12.2934,pover:year,-0.0079
prov,-7.5756,prov:year,0.0034
pur,10.2906,pur:year,-0.0066
qual,6.7271,qual:year,-0.0048
sai,27.8114,sai:year,-0.0167
scompagn,54.5908,scompagn:year,-0.0316
sent,-0.3225,sent:year,-0.0007
sì,9.5739,sì:year,-0.0063
sol,5.815,sol:year,-0.0043
sospir,14.3604,sospir:year,-0.0091
spos,20.5145,spos:year,-0.0125
terror,10.3476,terror:year,-0.0065
tradit,23.471,tradit:year,-0.0142
trem,12.2852,trem:year,-0.0078
trov,-0.0509,trov:year,-0.0008
ved,3.3125,ved:year,-0.0027
virtù,19.9966,virtù:year,-0.0122
