Effect,Coefficient,Effect,Coefficient
(Intercept),-4.3122,addi:year,0.0036
affett,14.6012,affett:year,-0.0047
allor,5.7972,allor:year,0.0003
almen,4.9619,almen:year,0.001
amor,11.0525,amor:year,-0.0026
ancor,13.1096,ancor:year,-0.0038
barbar,8.9656,barbar:year,-0.0014
bel,16.1084,bel:year,-0.0055
bell,18.605,bell:year,-0.0068
car,9.6153,car:year,-0.0016
chiam,31.1104,chiam:year,-0.014
cigl,11.7327,cigl:year,-0.003
cor,12.6198,cor:year,-0.0035
crudel,6.1971,crudel:year,0.0002
debell,15.6374,debell:year,-0.005
degn,3.8474,degn:year,0.0016
dì,-857.1149,dì:year,0.4911
digl,21.1186,digl:year,-0.0081
disper,13.241,disper:year,-0.0038
ditel,19.4797,ditel:year,-0.0073
donar,8.9386,donar:year,-0.0014
fat,-5.4143,fat:year,0.0069
fedel,10.2342,fedel:year,-0.0022
fid,12.6679,fid:year,-0.0035
fug,18.4942,fug:year,-0.0066
guerr,4.2995,guerr:year,0.0012
imper,23.5727,imper:year,-0.0097
infedel,25.108,infedel:year,-0.0103
infel,14.8408,infel:year,-0.0047
ingann,25.6558,ingann:year,-0.0108
ingrat,16.015,ingrat:year,-0.0053
lagn,15.0032,lagn:year,-0.0049
lasc,10.6368,lasc:year,-0.0023
lid,16.9669,lid:year,-0.0061
mor,12.6166,mor:year,-0.0034
nè,11.822,nè:year,-0.0029
ond,30.2924,ond:year,-0.0134
pac,3.3489,pac:year,0.002
parl,14.8275,parl:year,-0.0047
perd,16.9034,perd:year,-0.0057
perfid,30.7499,perfid:year,-0.0134
piet,11.0651,piet:year,-0.0026
pover,21.0318,pover:year,-0.0082
prov,-4.4364,prov:year,0.0062
pur,19.2716,pur:year,-0.0069
qual,2.9194,qual:year,0.0023
sai,39.5967,sai:year,-0.0187
scompagn,68.9348,scompagn:year,-0.0351
sent,15.2201,sent:year,-0.0049
sì,13.8322,sì:year,-0.004
sol,8.2148,sol:year,-0.001
sospir,29.4666,sospir:year,-0.013
spos,33.7116,spos:year,-0.0153
terror,27.7875,terror:year,-0.0117
tradit,34.2117,tradit:year,-0.0157
trem,25.2083,trem:year,-0.0103
trov,12.2309,trov:year,-0.0031
ved,21.1893,ved:year,-0.0081
virtù,22.8471,virtù:year,-0.0092
