Effect,Coefficient,Effect,Coefficient
(Intercept),-3.0338,addi:year,0.0017
affett,4.6661,affett:year,-0.0009
allor,3.5369,allor:year,-0.0003
almen,4.0211,almen:year,-0.0005
amor,2.5216,amor:year,0.0003
ancor,2.8563,ancor:year,0.0001
barbar,2.038,barbar:year,0.0005
bel,9.0424,bel:year,-0.0034
bell,0.0961,bell:year,0.0016
car,10.1572,car:year,-0.0041
chiam,0.6608,chiam:year,0.0014
cigl,-6.1389,cigl:year,0.0052
cor,5.0186,cor:year,-0.001
crudel,0.4986,crudel:year,0.0015
debell,2.145,debell:year,0.0006
degn,3.8354,degn:year,-0.0005
dì,-172.4429,dì:year,0.0994
digl,10.9528,digl:year,-0.0046
disper,4.851,disper:year,-0.0011
ditel,6.7391,ditel:year,-0.0021
donar,-3.0193,donar:year,0.0036
fat,-4.3823,fat:year,0.0042
fedel,1.9505,fedel:year,0.0006
fid,-0.3853,fid:year,0.0019
fug,3.7367,fug:year,-0.0005
guerr,-5.106,guerr:year,0.0047
imper,4.0596,imper:year,-0.0006
infedel,11.6949,infedel:year,-0.0049
infel,2.1668,infel:year,0.0005
ingann,1.0018,ingann:year,0.0012
ingrat,9.2082,ingrat:year,-0.0035
lagn,-0.5769,lagn:year,0.0021
lasc,1.54,lasc:year,0.0008
lid,-19.1178,lid:year,0.0127
mor,-3.0088,mor:year,0.0035
nè,3.6506,nè:year,-0.0004
ond,5.9315,ond:year,-0.0016
pac,5.0731,pac:year,-0.0013
parl,7.7932,parl:year,-0.0026
perd,1.5514,perd:year,0.0008
perfid,10.8379,perfid:year,-0.0045
piet,6.0098,piet:year,-0.0017
pover,2.8697,pover:year,0.0001
prov,5.2619,prov:year,-0.0012
pur,1.6171,pur:year,0.0008
qual,4.0694,qual:year,-0.0008
sai,11.5395,sai:year,-0.0048
scompagn,5.8848,scompagn:year,-0.0016
sent,4.8999,sent:year,-0.001
sì,3.8281,sì:year,-0.0005
sol,5.1042,sol:year,-0.0013
sospir,-0.887,sospir:year,0.0022
spos,-2.1646,spos:year,0.0029
terror,1.1145,terror:year,0.0011
tradit,0.0991,tradit:year,0.0017
trem,4.1118,trem:year,-0.0005
trov,3.9704,trov:year,-0.0006
ved,11.1928,ved:year,-0.0047
virtù,13.189,virtù:year,-0.0056
