Effect,Coefficient,Effect,Coefficient
(Intercept),-3.4149,addi:year,0.0019
affett,2.7981,affett:year,0.0004
allor,6.0142,allor:year,-0.0015
almen,8.0166,almen:year,-0.0027
amor,1.3499,amor:year,0.0012
ancor,3.2579,ancor:year,0.0001
barbar,-5.3761,barbar:year,0.0048
bel,11.9131,bel:year,-0.0049
bell,-3.7501,bell:year,0.004
car,19.8646,car:year,-0.0094
chiam,10.9102,chiam:year,-0.0043
cigl,-19.9688,cigl:year,0.0131
cor,3.556,cor:year,-0.0001
crudel,-1.9824,crudel:year,0.0031
debell,0.0802,debell:year,0.0019
degn,-6.1003,degn:year,0.0053
dì,3.3017,dì:year,NA
digl,-1.6932,digl:year,0.0027
disper,5.836,disper:year,-0.0015
ditel,4.7202,ditel:year,-0.0006
donar,-4.605,donar:year,0.0045
fat,-10.4816,fat:year,0.0078
fedel,1.6523,fedel:year,0.001
fid,1.1167,fid:year,0.0012
fug,11.7882,fug:year,-0.005
guerr,-3.4022,guerr:year,0.004
imper,3.8137,imper:year,-0.0002
infedel,13.6044,infedel:year,-0.0059
infel,2.5849,infel:year,0.0004
ingann,-0.3011,ingann:year,0.002
ingrat,15.789,ingrat:year,-0.0071
lagn,-19.0481,lagn:year,0.0128
lasc,-1.5971,lasc:year,0.0027
lid,-40.6329,lid:year,0.0248
mor,0.359,mor:year,0.0017
nè,2.3695,nè:year,0.0008
ond,0.3196,ond:year,0.0016
pac,23.1017,pac:year,-0.0112
parl,3.13,parl:year,0.0001
perd,0.9839,perd:year,0.0013
perfid,4.8724,perfid:year,-0.0009
piet,11.1505,piet:year,-0.0043
pover,5.2304,pover:year,-0.0011
prov,6.1095,prov:year,-0.0014
pur,27.7394,pur:year,-0.014
qual,5.4446,qual:year,-0.001
sai,-10.4116,sai:year,0.0078
scompagn,6.5653,scompagn:year,-0.0018
sent,-2.7977,sent:year,0.0034
sì,12.9907,sì:year,-0.0052
sol,4.7114,sol:year,-0.0008
sospir,0.348,sospir:year,0.0017
spos,-5.7436,spos:year,0.0051
terror,-18.5655,terror:year,0.0124
tradit,0.6884,tradit:year,0.0015
trem,-16.2584,trem:year,0.0111
trov,8.4039,trov:year,-0.0029
ved,17.1476,ved:year,-0.008
virtù,14.182,virtù:year,-0.006
