Effect,Coefficient,Effect,Coefficient
(Intercept),10.5323,addi:year,-0.006
affett,-8.3862,affett:year,-0.0014
allor,-12.861,allor:year,0.0013
almen,-18.3412,almen:year,0.0042
amor,-8.1752,amor:year,-0.0015
ancor,-10.6683,ancor:year,0
barbar,-14.3769,barbar:year,0.0022
bel,-12.4276,bel:year,0.0009
bell,-12.0013,bell:year,0.0009
car,-20.046,car:year,0.0054
chiam,-2.7226,chiam:year,-0.0047
cigl,-14.3801,cigl:year,0.0019
cor,-24.9864,cor:year,0.0081
crudel,-8.7979,crudel:year,-0.0012
debell,-18.7452,debell:year,0.0044
degn,-20.844,degn:year,0.006
dì,917.394,dì:year,-0.5265
digl,-34.9919,digl:year,0.0141
disper,-20.9398,disper:year,0.0057
ditel,-30.2372,ditel:year,0.0113
donar,-2.7538,donar:year,-0.0048
fat,-13.8873,fat:year,0.0017
fedel,-4.3614,fedel:year,-0.0037
fid,-5.9868,fid:year,-0.0026
fug,-8.9551,fug:year,-0.0008
guerr,10.4933,guerr:year,-0.0122
imper,-10.9637,imper:year,0.0003
infedel,-28.8849,infedel:year,0.0103
infel,-11.594,infel:year,0.0007
ingann,-5.539,ingann:year,-0.003
ingrat,-13.4277,ingrat:year,0.0016
lagn,-6.3243,lagn:year,-0.0027
lasc,-8.6773,lasc:year,-0.001
lid,-7.5128,lid:year,-0.0022
mor,2.0114,mor:year,-0.0074
nè,-17.3992,nè:year,0.0042
ond,-16.8512,ond:year,0.0033
pac,-28.782,pac:year,0.0106
parl,-15.6467,parl:year,0.0026
perd,-12.1122,perd:year,0.0009
perfid,-25.2558,perfid:year,0.0084
piet,-8.1547,piet:year,-0.0014
pover,-12.1821,pover:year,0.001
prov,-23.5122,prov:year,0.0074
pur,-6.0566,pur:year,-0.0027
qual,-21.6527,qual:year,0.0066
sai,-23.2777,sai:year,0.0072
scompagn,-14.2932,scompagn:year,0.0019
sent,-11.0453,sent:year,0.0001
sì,-12.454,sì:year,0.0014
sol,1.4985,sol:year,-0.0067
sospir,1.5327,sospir:year,-0.007
spos,-14.4233,spos:year,0.0022
terror,-37.3698,terror:year,0.0152
tradit,-4.0164,tradit:year,-0.0039
trem,-11.0825,trem:year,0.0001
trov,10.6027,trov:year,-0.0121
ved,-25.1396,ved:year,0.0085
virtù,-13.5274,virtù:year,0.0013
