Effect,Coefficient,Effect,Coefficient
(Intercept),3.0711,addi:year,-0.0018
affett,-1.4291,affett:year,-0.001
allor,-5.1487,allor:year,0.0012
almen,-4.7304,almen:year,0.0009
amor,-1.1323,amor:year,-0.0011
ancor,-5.6979,ancor:year,0.0015
barbar,-5.5913,barbar:year,0.0015
bel,-1.5529,bel:year,-0.001
bell,-7.1758,bell:year,0.0024
car,-1.7581,car:year,-0.0007
chiam,-1.95,chiam:year,-0.0007
cigl,-6.9712,cigl:year,0.0022
cor,-6.8173,cor:year,0.0022
crudel,0.9182,crudel:year,-0.0024
debell,-4.3817,debell:year,0.0006
degn,-6.888,degn:year,0.0022
dì,38.4969,dì:year,-0.0234
digl,-9.5667,digl:year,0.0037
disper,-9.4394,disper:year,0.0034
ditel,-22.4655,ditel:year,0.0111
donar,-5.0054,donar:year,0.001
fat,-8.3969,fat:year,0.0029
fedel,-1.8205,fedel:year,-0.0008
fid,-3.6472,fid:year,0.0004
fug,-5.5187,fug:year,0.0014
guerr,0.8758,guerr:year,-0.0024
imper,-1.8947,imper:year,-0.0006
infedel,-11.4011,infedel:year,0.0047
infel,-4.4597,infel:year,0.0008
ingann,-1.1913,ingann:year,-0.0011
ingrat,-3.1968,ingrat:year,0.0001
lagn,3.5714,lagn:year,-0.0039
lasc,-0.408,lasc:year,-0.0014
lid,-5.2823,lid:year,0.0012
mor,-1.0069,mor:year,-0.0012
nè,-4.9953,nè:year,0.0012
ond,-8.0496,ond:year,0.0028
pac,-11.9682,pac:year,0.0052
parl,-1.1388,parl:year,-0.0011
perd,-0.198,perd:year,-0.0016
perfid,-6.1634,perfid:year,0.0018
piet,-3.7076,piet:year,0.0004
pover,-3.3101,pover:year,0.0001
prov,-8.5882,prov:year,0.0031
pur,-1.8622,pur:year,-0.0006
qual,-4.6566,qual:year,0.001
sai,-9.2116,sai:year,0.0035
scompagn,0.1484,scompagn:year,-0.002
sent,-5.077,sent:year,0.0011
sì,2.8709,sì:year,-0.0032
sol,3.6211,sol:year,-0.0038
sospir,3.7585,sospir:year,-0.004
spos,-8.1956,spos:year,0.0029
terror,-19.2372,terror:year,0.0091
tradit,1.253,tradit:year,-0.0025
trem,5.0596,trem:year,-0.0047
trov,2.9782,trov:year,-0.0035
ved,-10.5155,ved:year,0.0044
virtù,0.6893,virtù:year,-0.0022
