Effect,Coefficient,Effect,Coefficient
(Intercept),1.4753,addi:year,-0.0009
affett,1.6309,affett:year,-0.0018
allor,-3.8821,allor:year,0.0014
almen,-8.5937,almen:year,0.0039
amor,-1.5378,amor:year,0
ancor,-2.0356,ancor:year,0.0002
barbar,-2.3476,barbar:year,0.0004
bel,5.7695,bel:year,-0.0043
bell,-4.6341,bell:year,0.0018
car,-0.94,car:year,-0.0004
chiam,1.2791,chiam:year,-0.0017
cigl,-2.446,cigl:year,0.0004
cor,-4.7277,cor:year,0.0018
crudel,-2.5697,crudel:year,0.0005
debell,-2.2894,debell:year,0.0005
degn,-1.7699,degn:year,0.0001
dì,456.8069,dì:year,-0.2601
digl,-5.5535,digl:year,0.0023
disper,-5.2694,disper:year,0.002
ditel,-9.7028,ditel:year,0.0047
donar,-2.0702,donar:year,0.0003
fat,-11.2084,fat:year,0.0054
fedel,-1.4689,fedel:year,-0.0001
fid,-2.347,fid:year,0.0005
fug,4.1984,fug:year,-0.0033
guerr,1.7698,guerr:year,-0.0019
imper,-0.7933,imper:year,-0.0004
infedel,-7.4147,infedel:year,0.0033
infel,-3.8835,infel:year,0.0014
ingann,1.1413,ingann:year,-0.0015
ingrat,-2.134,ingrat:year,0.0003
lagn,8.492,lagn:year,-0.0057
lasc,-0.204,lasc:year,-0.0007
lid,-1.3328,lid:year,-0.0002
mor,1.2533,mor:year,-0.0016
nè,-4.2033,nè:year,0.0016
ond,-0.8113,ond:year,-0.0004
pac,-9.7823,pac:year,0.0047
parl,-1.4762,parl:year,-0.0001
perd,-1.8848,perd:year,0.0002
perfid,-0.6287,perfid:year,-0.0005
piet,-2.4256,piet:year,0.0005
pover,1.4906,pover:year,-0.0018
prov,-3.5062,prov:year,0.0011
pur,1.9537,pur:year,-0.0021
qual,-9.3429,qual:year,0.0045
sai,-5.881,sai:year,0.0025
scompagn,0.3148,scompagn:year,-0.0011
sent,2.1079,sent:year,-0.0021
sì,2.0903,sì:year,-0.002
sol,2.4559,sol:year,-0.0023
sospir,-2.8741,sospir:year,0.0007
spos,-6.0891,spos:year,0.0025
terror,-6.6675,terror:year,0.0029
tradit,0.29,tradit:year,-0.001
trem,0.3519,trem:year,-0.001
trov,-0.3317,trov:year,-0.0007
ved,-5.8598,ved:year,0.0025
virtù,-3.5669,virtù:year,0.0011
