Effect,Coefficient,Effect,Coefficient
(Intercept),2.9141,addi:year,-0.0017
affett,-1.473,affett:year,-0.001
allor,-8.2272,allor:year,0.0029
almen,-9.4468,almen:year,0.0036
amor,-2.1518,amor:year,-0.0006
ancor,-2.9794,ancor:year,-0.0001
barbar,-3.6571,barbar:year,0.0004
bel,-2.1769,bel:year,-0.0006
bell,-6.5034,bell:year,0.002
car,-1.2871,car:year,-0.001
chiam,4.366,chiam:year,-0.0043
cigl,1.5159,cigl:year,-0.0027
cor,-5.3842,cor:year,0.0013
crudel,-5.6506,crudel:year,0.0014
debell,-6.9085,debell:year,0.0022
degn,-5.0257,degn:year,0.0012
dì,500.7037,dì:year,-0.2857
digl,-14.6049,digl:year,0.0067
disper,-5.2273,disper:year,0.0012
ditel,-13.0102,ditel:year,0.0058
donar,-3.255,donar:year,0
fat,-8.9595,fat:year,0.0033
fedel,-2.2745,fedel:year,-0.0005
fid,-2.808,fid:year,-0.0001
fug,0.8768,fug:year,-0.0022
guerr,2.8779,guerr:year,-0.0035
imper,-0.724,imper:year,-0.0013
infedel,-10.901,infedel:year,0.0044
infel,-5.2362,infel:year,0.0013
ingann,0.4177,ingann:year,-0.002
ingrat,-7.8287,ingrat:year,0.0027
lagn,5.161,lagn:year,-0.0047
lasc,-2.7226,lasc:year,-0.0001
lid,2.37,lid:year,-0.0032
mor,0.6967,mor:year,-0.0022
nè,-2.9348,nè:year,0
ond,-3.4157,ond:year,0.0002
pac,-9.0931,pac:year,0.0036
parl,-6.3711,parl:year,0.0018
perd,-4.3014,perd:year,0.0007
perfid,-7.2786,perfid:year,0.0024
piet,-2.0438,piet:year,-0.0006
pover,0.5203,pover:year,-0.002
prov,-6.4314,prov:year,0.0019
pur,-3.2688,pur:year,0.0001
qual,-7.2104,qual:year,0.0025
sai,-2.9503,sai:year,-0.0001
scompagn,1.6444,scompagn:year,-0.0028
sent,2.2523,sent:year,-0.0031
sì,-5.1665,sì:year,0.0013
sol,2.3023,sol:year,-0.003
sospir,0.6316,sospir:year,-0.0022
spos,-3.8616,spos:year,0.0005
terror,-7.8506,terror:year,0.0028
tradit,-1.4807,tradit:year,-0.0009
trem,-4.2824,trem:year,0.0007
trov,6.5234,trov:year,-0.0054
ved,-6.9351,ved:year,0.0023
virtù,-3.3911,virtù:year,0
